61,P,BED852,MAJOR PROJECT PART 2 (BB),14,0,0,,PRASHANT MISHRA,100
62,P,BET450,PRACTICAL TRAINING,0,0,0,,G P AGARWAL,100
63,P,BED853,MAJOR PROJECT PART 1 (BB),4,0,0,,PRASHANT MISHRA,100
64,P,BES350,INDEPENDENT STUDY (BB),3,0,3,,V S BISARIA,100
65,P,BED851,MAJOR PROJECT PART 1 (BB),6,0,0,,PRASHANT MISHRA,100
66,A,CHL723,CHEMICAL REACTOR ENGG,3,3,0,,SHANTANU ROY,100
67,B,CHL101,INTRO TO CHEM ENGG THERMODYNAMICS,3,2,1,,ANUPAM SHUKLA,45
68,B,CHL103,CHEMICAL REACTOR ANALYSIS AND DESIGN,4,3,1,,K DP NIGAM,45
69,B,CHL722,FUNDAMENTALS OF FUEL CELL TECHNOLOGY,4,3,0,,SUDDHASTWA BASU,100
70,B,CHL133,POWDER PROCESSING AND TECHNOLOGY,4,3,1,,B PITCHUMANI,100
71,B,CHL111,MATERIAL & ENERGY BALANCE,4,2,2,,ANIL KUMAR SAROHA,130
72,C,CHL121,CHEM ENGG THERMODYNAMICS,4,3,1,,SANAT MOHANTY,130
73,C,CHL331,FLUID-PARTICLE  MECHANICS,4,3,1,,SUDIP KUMAR PATTANAYEK,120
74,C,CHL603,ADVANCED TRANSPORT PHENOMENA,3,3,0,,VIVEK VITTHAL BUWA,100
75,D,CHL260,APPLICATIONS OF PROGRAMMING IN CHEMICAL ENGINEERIN,4,3,0,,J K JAIN,100
76,D,CHL701,PROCESS ENGG FLUID MECHANCS FOR CHEM,4,3,0,,RATAN MOHAN,100
77,D,CHL231,ENGINEERS,4,3,1,,S N SINGH,130
78,D,CHL203,TRANSPORT PPROCESSES I,4,3,1,,ANURAG SINGH RATHORE,45
79,E,CHL110,TRANSPORT PHENOMENA,4,3,1,,S K GUPTA,90
80,E,CHL794,PETROLEUM REFINERY ENGG,4,3,0,,SREEDEVI UPADHYAYULA,100
81,E,CHP304,CHEMICAL ENGINEERING LABORATORY - I,1.5,0,0,,RATAN MOHAN,100
82,E,CHL261,INSTRUMENTATION AND PROCESS CONTROL,4,3,1,,SHAIK ABDUL MUNAWAR,120
83,F,CHL251,HEAT AND MASS TRANSFER,4,3,1,,A N BHASKARWAR,130
84,F,CHL221,CHEMICAL REACTION ENGINEERING II,4,3,1,,KAMAL KISHORE PANT,120
85,F,CHP302,MASS TRANSFER AND FLUID PARTICLE MECHANICS LABORAT,1.5,0,0,,RAJESH KHANNA,100
86,F,CHL768,FUNDAMENTALS OF COMPUTATIONAL FLUID DYNAMICS,3,2,0,,JAYTI SARKAR,60
87,F,CHL793,MEMBRANE SCIENCE AND ENGINEERING,3,3,0,,S K GUPTA,100
88,H,CHL751,MULTICOMPONENT MASS TRANSFER,3,3,0,,RAJESH KHANNA,100
89,N,CHN110,INTRO TO CHEMICAL ENGINEERING,2,0,0,,A K GUPTA,130
90,P,CHD411,MAJOR PROJECT PART 1 (CH),4,0,0,,SREEDEVI UPADHYAYULA,100
91,P,CHD853,MAJOR PROJECT PART 1 (CP),4,0,0,,JAYTI SARKAR,100
92,P,CHT410,PRACTICAL TRAINING,0,0,0,,ANURAG SINGH RATHORE,100
93,P,CHD863,MAJOR PROJECT PART 1 (CC),4,0,0,,JAYTI SARKAR,100
94,P,CHD770,MAJOR PROJECT PART-I,6,0,0,,SUDDHASTWA BASU,100
95,P,CHD412,MAJOR PROJECT PART 2 (CH),6,0,0,,SREEDEVI UPADHYAYULA,100
96,P,CHC410,COLLOQUIUM (CH),3,0,3,,S K GUPTA,90
97,P,CHD861,MAJOR PROJECT PART 1 (CC),6,0,0,,JAYTI SARKAR,100
98,P,CHD895,MAJOR PROJECT,40,0,0,,ANIL KUMAR SAROHA,100
99,P,CHD851,MAJOR PROJECT PART 1 (CP),6,0,0,,JAYTI SARKAR,25
100,P,CHD780,MAJOR PROJECT PART-II,12,0,0,,SUDDHASTWA BASU,90
101,A,CYL677,SUPRAMOLECULAR CHEMISTRY,3,3,0,,H M CHAWLA,100
102,B,CYL601,GROUP THEORY & SPECTROSCOPY,3,3,0,,B JAYARAM,100
103,B,CYL110,PHYSICAL CHEMISTRY- CONCEPTS AND APPLICATIONS,4,3,1,,SAMEER SAPRA,100
104,B,CYL503,MAIN GROUP CHEMISTRY AND INORGANIC SOLIDS,3,3,0,,JAI DEO SINGH,100
105,C,CYL501,MOLECULAR THERMODYNAMICS,3,3,0,,NARAYANAN KURUR,100
106,D,CYL120,INORGANIC & ORGANIC CHEMISTRY-CONCEPTS & APPLNS,4,3,1,,V HARIDAS,100
107,D,CYL502,STEREOCHEMISTRY AND ORGANIC REACTION MECHANISMS,3,3,0,,NALIN PANT,100
108,D,CYL678,RECENT TRENDS IN ORGANIC CHEMISTRY,3,3,0,,NIDHI JAIN,100
109,D,CYL721,"DESIGN SYNTHESIS, & CHARACTERIZATION OF ORGANIC",3,3,0,,P S PANDEY,100
110,D,CYL230,POLYMER CHEMISTRY,3,2,1,,S NAGENDRAN,100
111,E,CYL725,MOLECULES TO MATERIALS,3,3,0,,A RAMANAN,100
112,E,CYL505,INSTRUMENTAL METHODS OF ANALYSIS,3,3,0,,A K SINGH,100
113,E,CYL604,BIOCHEMISTRY III,3,3,0,,SUNIL KUMAR KHARE,100
114,F,CYL504,BIOCHEMISTRY I,3,3,0,,M N GUPTA,100
115,F,CYL686,INORGANIC POLYMERS,3,3,0,,RAVI SHANKAR,100
116,H,CYL603,BASIC  ORGANOMETALLIC CHEMISTRY,3,3,0,,D K BANDYOPADHYAY,100
117,J,CYL602,PERICYCLIC REACTIONS AND PHOTOCHEMISTRY,3,3,0,,R N RAM,100
118,P,CYS801,INDEPENDENT STUDY,4,0,0,,SAMEER SAPRA,100
119,P,CYP504,BIOCHEMISTRY  LABORATORY COURSE I,2,0,0,,M N GUPTA,100
120,P,CYP722,"LAB ON DESIGN,SYNTHESIS & CHARACTERIZATION OF ORG.",3,0,0,,P S PANDEY,100
121,P,CYP502,ORGANIC CHEMISTRY LABORATORY COURSE I,2,0,0,,NALIN PANT,100
122,P,CYD801,MAJOR PROJECT PART-I,6,0,0,,SAMEER SAPRA,100
123,P,CYD803,MAJOR PROJECT PART-I,4,0,0,,SAMEER SAPRA,100
124,P,CYP503,INORGANIC CHEMISTRY LABORATORY COURSE I,2,0,0,,ASHOK KUMAR GANGULI,100
125,P,CYP501,PHYSICAL CHEMISTRY LABORATORY COURSE I,2,0,0,,NARAYANAN KURUR,100
126,P,CYD660,PROJECT PART 1,3,0,0,,V HARIDAS,100
127,P,CYD799,MINOR PROJECT,3,0,0,,SAMEER SAPRA,100
128,Q,CYP100,CHEMISTRY  LABORATORY,2,0,0,,JAI DEO SINGH,100
129,A,CSL630,ADVANCED DATA STRUCTURES,4,3,0,,S N MAHESHWARI,100
130,A,CSL821,RECONFIGURABLE  COMPUTING,3,3,0,,KOLIN PAUL,90
131,A,CSL102,INTRODUCTION TO COMPUTER SCIENCE,4,3,0,,SANJIVA PRASAD,90
132,A,CSL101,INTRO TO COMPUTERS AND PROGRAMMING,4,3,0,,SAROJ KAUSHIK,90
133,B,CSL868,SPECIAL TOPICS IN DATA BASE SYSTEMS,3,3,0,,MAYA RAMANATH,15
134,B,CSL783,DIGITAL IMAGE ANALYSIS,4.5,3,0,,PREM KUMAR KALRA,100
135,B,CSL719,SYNTHESIS OF DIGITAL SYSTEMS,4,3,0,,ANSHUL KUMAR,100
136,B,CSL201,DATA STRUCTURES,5,3,0,,AMITABHA BAGCHI,250
137,C,CSL740,SOFTWARE ENGINEERING,4,3,0,,VINAY JOSEPH RIBEIRO,90
138,C,CSL765,INTRODUCTION TO LOGIC AND FUNCTIONAL  PROGRAMMING,4,3,0,,S A KUMAR,30
139,C,CSL864,SPECIAL TOPICS IN ARTIFICIAL INTELLIGENCE,3,3,0,,K K BISWAS,100
140,D,CSL374,COMPUTER NETWORKS,4.5,3,0,,AADITESHWAR SETH,80
141,D,CSL672,COMPUTER NETWORKS,4,3,0,,AADITESHWAR SETH,10
142,D,CSL105,DISCRETE  MATHEMATICAL STRUCTURES,4,3,1,,AMIT KUMAR,100
143,E,CSL303,LOGIC FOR COMPUTER SCIENCE,4,3,0,,S A KUMAR,100
144,E,CSL863,SPECIAL TOPICS IN THEORETICAL  COMPUTER SCIENCE,3,3,0,,NAVEEN GARG,90
145,F,CSL771,DATABASE  IMPLEMENTATIONS,4,3,0,,S K GUPTA,100
146,F,CSL356,ANALYSIS AND DESIGN OF ALGORITHMS SEMANTICS OF PROGRAMMING,4,3,1,,RAGESH JAISWAL,100
147,H,CSL831,LANGUAGES,3,3,0,,SANJIVA PRASAD,20
148,J,CSC410,COLLOQUIUM (CS),3,0,3,,AMIT KUMAR,100
149,K,CSL781,COMPUTER GRAPHICS,4.5,3,0,,SUBODH KUMAR,90
150,K,CSL211,COMPUTER  ARCHITECTURE,5,3,1,,SMRUTI RANJAN SARANGI,100
151,K,CSL858,ADVANCED COMPUTER NETWORKS,4,3,0,,VINAY JOSEPH RIBEIRO,90
152,K,CSL724,ADVANCED COMPUTER NETWORKS,4,3,0,,VINAY JOSEPH RIBEIRO,90
153,M,CSL862,SPECIAL TOPICS IN SOFTWARE SYSTEMS,3,3,0,,SORAV BANSAL,100
154,M,SIL765,NETWORK & SYSTEMS SECUEITY,4,3,0,,HUZUR SARAN,100
155,N,CSN110,IINTRODUCTON TO COMP SC. & ENGINEERING,2,0,0,,PREM KUMAR KALRA,100
156,P,CSL866,SPECIAL TOPICS IN ALGORITHMS,3,3,0,,S BANERJEE,100
157,P,CSP301,DESIGN PRACTICES IN COMPUTER SCIENCE,3,0,1,,KOLIN PAUL,100
158,P,CSP701,SOFTWARE SYSTEMS LABORATORY,3,0,0,,KOLIN PAUL,30
159,P,CSV888,SPECIAL MODULE IN DATABASE SYSTEMS,1,1,0,,S K GUPTA,90
160,P,CSP745,DIGITAL SYSTEMS LAB,3,0,0,,ANSHUL KUMAR,100
161,P,CSS310,INDEPENDENT STUDY (CS),3,0,3,,VINAY JOSEPH RIBEIRO,100
162,P,CSS799,INDEPENDENT STUDY,3,0,3,,SANJIVA PRASAD,100
163,P,CST410,PRACTICAL TRAINING,0,0,0,,SAROJ KAUSHIK,100
164,P,CSD745,MINOR PROJECT,4,0,1,,SANJIVA PRASAD,100
165,P,CSD852,MAJOR PROJECT PART 2 (CO),14,0,0,,PREETI RANJAN PANDA,100
166,P,CSD310,MINI PROJECT (CS),3,0,0,,VINAY JOSEPH RIBEIRO,100
167,P,CSD411,MAJOR PROJECT PART 1 (CS),4,0,0,,S K GUPTA,100
168,P,CSD412,MAJOR PROJECT PART 2 (CS),8,0,0,,S K GUPTA,100
169,P,CSD851,MAJOR PROJECT PART 1 (CO),6,0,0,,PREETI RANJAN PANDA,100
170,P,CSD853,MAJOR PROJECT PART 1 (CO),4,0,0,,PREETI RANJAN PANDA,100
171,P,CSD854,MAJOR PROJECT PART 2 (CO),16,0,0,,PREETI RANJAN PANDA,90
172,P,CSP315,EMBEDDED SYSTEM DESIGH LAB,4,0,1,,M BALAKRISHNAN,55
173,P,CSD750,MINOR PROJECT (CO),4,0,1,,PREETI RANJAN PANDA,100
174,P,CSD893,MAJOR PROJECT PART - I,6,0,0,,SANJIVA PRASAD,100
175,P,CSD894,MAJOR PROJECT PART-II,12,0,0,,SANJIVA PRASAD,100
176,P,CSD895,MAJOR PROJECT,40,0,0,,SANJIVA PRASAD,100
177,A,CEL707,SOIL DYNAMICS AND GEOTECHNICAL  EARTHQUAKE ENGG,3,3,0,,R AYOTHIRAMAN,100
178,A,CEL715,SOIL STRUCTURE INTERACTION ANALYSIS,3,3,0,,B MUNWAR BASHA,100
179,A,CEL717,ADVANCED STRUCTURAL ANALYSIS,3,3,0,,T K DATTA,100
180,A,CEL735,HYDROLOGIC PROCESSES & MODELING,3,3,0,,RAKESH KHOSA,100
181,A,CEL760,FINITE ELEMENT METHOD IN GEOTECHNICAL ENGG PROJECT PLANNING,3,3,0,,K G SHARMA,100
182,A,CEL769,CONTROL,3,2,1,,J UMA MAHESWARI,100
183,A,CEL788,PUBLIC  TRANSPORTATION SYSTEMS,3,3,0,,GEETAM TEWARI,100
184,A,CEL793,AIR POLLUTION AND CONTROL,4,3,0,,MUKESH KHARE,100
185,B,CEL886,ENVIRONMENTAL  SYSTEMS ANALYSIS,4,3,0,,ARVIND KUMAR NEMA,100
186,B,CEL777,BUILDING SCIENCE,3,3,0,,B BHATTACHARJEE,100
187,B,CEL762,SPECIAL TOPICS IN ROCK ENGINEERING,3,3,0,,TANUSREE CHAKRABORTY,100
188,B,CEL753,STRUCTURAL GEOLOGY,3,2,0,,K S RAO,100
189,B,CEL737,OPTIMISATION TECHNIQUES IN WATER RESOURCES,3,3,0,,BHAGU RAM CHAHAR,100
190,B,CEL733,FEM IN STRUCTURAL ENGINEERING,3,2,1,,A K NAGPAL,100
191,B,CEL714,SP TOPICS IN GEOTECHNICAL AND  GEOENVIRONMENTAL ENG,3,3,0,,TANUSREE CHAKRABORTY,100
192,B,CEL464,CONSTRUCTION  CONTRACT AND ECONOMICS,3,2,1,,KUMAR NEERAJ JHA,100
193,B,CEL701,ENGINEERING BEHAVIOUR OF SOILS,3,3,0,,K K GUPTA,100
194,B,CEL241,TRANSPORTATION ENGINEERING I,4,3,0,,GEETAM TEWARI,100
195,C,CEL271,ELEMENTS OF SURVEYING,3,2,0,,GAZALA HABIB,100
196,C,CEL703,SITE INVESTIGATIONS AND GROUND IMPROVEMENT,3,3,0,,TANUSREE CHAKRABORTY,100
197,C,CEL731,PSC/COMPOSITE  STRUCTURES,3,3,0,,A K NAGPAL,100
