S No,Slot,Course Code,Course Description,Course Credit,L,T,P,Course Co-Ordinator,Registered
1,A,AML110,ENGINEERING MECHANICS,4,3,0,2,S V VEERAVALLI,318
2,A,AMS802,INDEPENDENT STUDY,3,0,3,0,PUNEET MAHAJAN,1
3,A,AMP776,PRODUCT DESIGN,3,1,0,4,S N SINGH,19
4,B,AML150,MECHANICS OF SOLIDS & FLUIDS,5,3,1,2,R K MITTAL,35
5,B,AML160,MECHANICS OF FLUIDS,4,3,1,0,MURALI RAMAN CHOLEMARI,75
6,B,AML705,FINITE ELEMENT METHODS,4,3,0,2,C V RAMAKRISHNAN,26
7,B,AML751,MATERIALS FOR MARINE VEHICLES,3,3,0,0,RAJESH PRASAD,17
8,B,AML750,MODERN ENGINEERING MATERIALS,3,3,0,0,RAJESH PRASAD,33
9,B,AML710,COMPUTER AIDED DESIGN,4,3,0,2,SRIRAM HEGDE,94
10,C,AML732,SOLID MECHANICS,3,3,0,0,R K MITTAL,19
11,C,AML773,MODELLING AND ANALYSIS,3,3,0,0,P K SEN,21
12,C,AML731,APPLIED ELASTICITY,4,3,1,0,N K GUPTA,25
13,D,AML734,ADVANCED DYNAMICS,4,3,1,0,YOGENDRA NATH,36
14,D,AML140,MECHANICS OF SOLIDS,4,3,1,0,PUNEET MAHAJAN,76
15,D,AML791,SHIP RESISTANCE & PROPULSION,3,3,0,0,MALOY KUMAR SINGHA,17
16,D,AML733,DYNAMICS,3,3,0,0,YOGENDRA NATH,18
17,D,AML130,EXPERIMENTAL METHODS AND ANALYSIS,5,3,1,2,SUHAIL AHMED,53
18,D,AML715,VISCOUS FLUID FLOWS,3,3,0,0,BALAJI SRINIVASAN,20
19,D,AMP772,FEASIBILITY STUDY,3,1,0,4,MALOY KUMAR SINGHA,19
20,E,AML711,ADVANCED FLUID MECHANICS,4,3,1,0,V SESHADRI,26
21,E,AML120,MATERIALS SCIENCE,4,3,0,2,S K GUPTA,184
22,E,AML775,DESIGN METHODS,3,3,0,0,SUHAIL AHMED,19
23,E,AML713,APPLIED FLUID DYNAMICS,4,3,1,0,P K SEN,18
24,F,AML702,APPLIED COMPUTATIONAL METHOD,4,3,0,2,C V RAMAKRISHNAN,22
25,F,AML792,STRUCTURAL DESIGN OF SHIPS,3,3,0,0,MALOY KUMAR SINGHA,17
26,F,AML805,ADVANCED FINITE ELEMENT METHODS,3,3,0,0,PUNEET MAHAJAN,24
27,F,AML771,DECISION THEORY & DESIGN OPTIMIZATION,3,3,0,0,BADRI PRASAD PATEL,19
28,H,AML701,ENGG MATHEMATICS & MECHANICS,3,3,0,0,P K SEN,17
29,H,AML851,FRACTURE MECHANICS,3,3,0,0,R K PANDEY,39
30,H,AML820,ADVANCES IN FLUID ENGINEERING,3,3,0,0,V SESHADRI,7
31,M,AML836,NON-LINEAR VIBRATION AND CHAOS,3,3,0,0,YOGENDRA NATH,11
32,P,AMD811,MAJOR PROJECT PART-I,6,0,0,12,SANTOSH KAPURIA,21
33,P,AMD899,DESIGN PROJECT,10,0,0,20,MALOY KUMAR SINGHA,17
34,P,AMD814,MAJOR PROJECT PART-II,12,0,0,24,BADRI PRASAD PATEL,1
35,P,AMD813,MAJOR PROJECT PART-I,6,0,0,12,BADRI PRASAD PATEL,13
36,B,BEL722,GENOMICS AND PROTEOMICS,3,3,0,0,TAPAN KUMAR CHAUDHURI,33
37,C,BEL301,BIOPROCESS ENGINEERING,3,3,0,0,VIKRAM SAHAI,25
38,C,BEL110,MOLECULAR CELL BIOLOGY,3,3,0,0,BISHWAJIT KUNDU,44
39,C,BEL701,BIOTECHNOLOGY RESOURCE PLANNING AND IPR ISSUES,2,2,0,0,SUBHASH CHAND,27
40,D,BEL417,BIOPHYSICS,3,3,0,0,SUNIL NATH,16
41,E,BEL715,BIOLOGICAL WASTE TREATMENT,4,3,0,2,T RSREEKRISHNAN,25
42,E,BEL101,BIOCHEMISTRY,5.5,3,1,3,PRASHANT MISHRA,30
43,E,BER350,PROFESSIONAL PRACTICES (BB),2,0,1,2,G P AGARWAL,26
44,E,BEL850,ADVANCED BIOCHEMICAL ENGINEERING,5,3,0,4,S N MUKHOPADHYAY,6
45,E,BEL403,ENZYME ENGINEERING AND TECHNOLOGY,4,3,0,2,SUBHASH CHAND,25
46,F,BEL103,GENERAL MICROBIOLOGY,4.5,3,0,3,V S BISARIA,32
