S No,Slot,Course Code,Course Description,Course Credit,L,T,P,Course Co-Ordinator,Registered
47,F,BEL717,ANIMAL CELL TECHNOLOGY,4,3,0,2,P K ROYCHOUDHURY,7
48,F,BEL415,ADVANCED BIOPROCESS CONTROL,3,3,0,0,JAMES GOMES,8
49,F,BEL416,MEMBRANE APPLICATIONS IN BIOPROCESSING,3,3,0,0,G P AGARWAL,17
50,F,BEP303,DESIGN OF BIOPROCESSES,2.5,0,1,3,VIKRAM SAHAI,27
51,F,BEL830,MICROBIAL BIOCHEMISTRY,3,3,0,0,SAROJ MISHRA,6
52,H,BEL810,ENZYME AND MICROBIAL TECHNOLOGY,3,3,0,0,V S BISARIA,11
53,J,BEL714,PROTEIN SCIENCE AND ENGINEERING,3,3,0,0,SAROJ MISHRA,21
54,J,BML810,TISSUE ENGINERING,3,3,0,0,ALOK RANJAN RAY,9
55,J,BEL820,DOWNSTREAM PROCESSING,3,3,0,0,SUNIL NATH,6
56,N,BEN150,INTRO TOBO CHEM.&BO TECHNOLOHY,2,0,0,4,A K SRIVASTAVA,34
57,P,BEP840,LAB TECH IN MICROBIAL BIOCHEMISTRY,2,0,0,4,PRASHANT MISHRA,7
58,P,BEC450,COLLOQUIUM (BB),3,0,3,0,SUBHASH CHAND,25
59,P,BED800,MAJOR PROJECT,40,0,0,80,SUBHASH CHAND,3
60,P,BE892S,MAJOR PROJECT II,12,0,0,24,T RSREEKRISHNAN,2
61,P,BED852,MAJOR PROJECT PART 2 (BB),14,0,0,28,T RSREEKRISHNAN,1
62,P,BET450,PRACTICAL TRAINING,0,0,0,0,G P AGARWAL,38
63,P,BED853,MAJOR PROJECT PART 1 (BB),4,0,0,8,T RSREEKRISHNAN,5
64,P,BES350,INDEPENDENT STUDY (BB),3,0,3,0,V S BISARIA,3
65,P,BED851,MAJOR PROJECT PART 1 (BB),6,0,0,12,T RSREEKRISHNAN,20
66,A,CHL711,NUMERICAL METHODS IN CHEMICAL ENGINEERING,4,3,0,2,RATAN MOHAN,31
67,A,CHL701,PROCESS ENGG,4,3,0,2,SHAIK ABDUL MUNAWAR,33
68,B,CHL111,MATERIAL & ENERGY BALANCE,4,2,2,0,ANIL KUMAR SAROHA,85
69,B,CHL101,INTRO TO CHEM ENGG THERMODYNAMICS,3,2,1,0,ANUPAM SHUKLA,35
70,B,CHL103,CHEMICAL REACTOR ANALYSIS AND DESIGN,4,3,1,0,V V KRISHNAN,30
71,B,CHL133,POWDER PROCESSING AND TECHNOLOGY,4,3,1,0,B PITCHUMANI,75
72,B,CHL724,ENVIRONMENTAL ENGG AND WASTE MANAGEMENT,4,3,1,0,SREEDEVI UPADHYAYULA,46
73,C,CHL768,FUNDAMENTALS OF COMPUTATIONAL FLUID DYNAMICS,3,2,0,2,VIVEK VITTHAL BUWA,37
74,C,CH312N,CHEMICAL PROCESS PRINCIPLIES,4,3,1,0,V V KRISHNAN,1
75,C,CHL331,FLUID-PARTICLE MECHANICS,4,3,1,0,SUDDHASTWA BASU,82
76,D,CHL296,NANO ENGG OF SOFT MATERIIALS,3,3,0,0,RAJESH KHANNA,84
77,D,CHL231,FLUID MECHANCS FOR CHEM ENGINEERS,4,3,1,0,S N SINGH,71
78,D,CHL723,CHEMICAL REACTOR ENGG,3,3,0,0,D P RAO,22
79,D,CHL793,MEMBRANE SCIENCE AND ENGINEERING,3,3,0,0,S K GUPTA,21
80,D,CHL203,TRANSPORT PPROCESSES I,4,3,1,0,SUDIP KUMAR PATTANAYEK,34
81,E,CHL794,PETROLEUM REFINERY ENGG,4,3,0,2,V V KRISHNAN,85
82,E,CHP304,CHEMICAL ENGINEERING LABORATORY - I,1.5,0,0,3,RATAN MOHAN,28
83,E,CHL261,INSTRUMENTATION AND PROCESS CONTROL,4,3,1,0,SHANTANU ROY,79
84,F,CHL710,PROCESS DYNAMICS AND CONTROL,5,3,1,2,D P RAO,4
85,F,CHL251,HEAT AND MASS TRANSFER,4,3,1,0,A N BHASKARWAR,74
86,F,CHL221,CHEMICAL REACTION ENGINEERING II,4,3,1,0,KAMAL KISHORE PANT,85
87,F,CHP302,MASS TRANSFER AND FLUID PARTICLE MECHANICS LABORAT,1.5,0,0,3,KAMAL KISHORE PANT,75
88,F,CHL763,COMPUTER PROCESS CONTROL,3,3,0,0,S MK RAHMAN,64
89,F,CHL717,MECHANCIAL DESIGN PROCESS EQUIPMENT,4,3,0,2,O P AMAR,15
90,H,CHL761,CHEMICAL ENGG MATHEMATICS,3,3,0,0,RAJESH KHANNA,47
91,H,CHL603,ADVANCED TRANSPORT PHENOMENA,3,3,0,0,SHANTANU ROY,18
92,H,CHL774,PROCESS OPTIMIZATION,4,3,0,2,ANUPAM SHUKLA,28
93,P,CHD412,MAJOR PROJECT PART 2 (CH),6,0,0,12,SREEDEVI UPADHYAYULA,4
94,P,CHD770,MAJOR PROJECT PART-I,6,0,0,12,SUDDHASTWA BASU,22
95,P,CH892S,MAJOR PROJECT,12,0,0,24,ANUPAM SHUKLA,1
96,P,CHD411,MAJOR PROJECT PART 1 (CH),4,0,0,8,SREEDEVI UPADHYAYULA,39
97,P,CHD853,MAJOR PROJECT PART 1 (CP),4,0,0,8,ANUPAM SHUKLA,1
98,P,CHT410,PRACTICAL TRAINING,0,0,0,0,V V KRISHNAN,79
99,P,CHD864,MAJOR PROJECT PART 2 (CC),16,0,0,32,ANUPAM SHUKLA,1
100,P,CHD895,MAJOR PROJECT,40,0,0,80,ANIL KUMAR SAROHA,4
101,P,CHD851,MAJOR PROJECT PART 1 (CP),6,0,0,12,ANUPAM SHUKLA,12
102,P,CHC410,COLLOQUIUM (CH),3,0,3,0,S K GUPTA,74
103,P,CHP303,CHEMICAL REACTION ENGINEERING AND PROCESS CONTROL,1.5,0,0,3,SHANTANU ROY,1
104,P,CH891S,MAJOR PROJECT-I,4,0,0,8,ANUPAM SHUKLA,1
105,P,CHD861,MAJOR PROJECT PART 1 (CC),6,0,0,12,ANUPAM SHUKLA,12
106,A,CYL686,INORGANIC POLYMERS,3,3,0,0,S NAGENDRAN,29
107,A,CYL503,MAIN GROUP CHEMISTRY AND INORGANIC SOLIDS,3,3,0,0,ASHOK KUMAR GANGULI,34
108,B,CYL110,PHYSICAL CHEMISTRY-CONCEPTS AND APPLICATIONS,4,3,1,0,SIDDHARTH PANDEY,206
109,B,CYL501,MOLECULAR THERMODYNAMICS,3,3,0,0,B JAYARAM,35
110,B,CYL676,BIO-ORGANIC & MEDICINAL CHEMISTY,3,3,0,0,H M CHAWLA,23
111,C,CYL601,GROUP THEORY & SPECTROSCOPY,3,3,0,0,NARAYANAN KURUR,28
112,D,CYL230,POLYMER CHEMISTRY,3,2,1,0,B JAYARAM,65
113,D,CYL120,INORGANIC & ORGANIC CHEMISTRY-CONCEPTS & APPLNS,4,3,1,0,RAVI SHANKAR,280
114,D,CYL603,BASIC ORGANOMETALLIC CHEMISTRY,3,3,0,0,ANIL JACOB ELIAS,28
115,D,CYL502,STEREOCHEMISTRY AND ORGANIC REACTION MECHANISMS,3,3,0,0,P S PANDEY,37
116,E,CYL721,"DESIGN SYNTHESIS, & CHARACTERIZATION OF ORGANIC",3,3,0,0,====,11
117,E,CYL602,PERICYCLIC REACTIONS AND PHOTOCHEMISTRY,3,3,0,0,R N RAM,29
118,E,CYL505,INSTRUMENTAL METHODS OF ANALYSIS,3,3,0,0,A K SINGH,35
119,F,CYL504,BIOCHEMISTRY I,3,3,0,0,M N GUPTA,34
120,F,CYL604,BIOCHEMISTRY III,3,3,0,0,SUNIL KUMAR KHARE,29
121,J,CYL668,STATISTICAL MECHANICS & MOLECULAR SIMULATION METH,3,3,0,0,CHARUSITA CHAKRAVARTY,12
122,J,CYL725,MOLECULES TO MATERIALS,3,3,0,0,====,11
123,P,CYP503,INORGANIC CHEMISTRY LABORATORY COURSE I,2,0,0,4,ASHOK KUMAR GANGULI,34
124,P,CYP502,ORGANIC CHEMISTRY LABORATORY COURSE I,2,0,0,4,P S PANDEY,34
125,P,CYP504,BIOCHEMISTRY LABORATORY COURSE I,2,0,0,4,M N GUPTA,34
126,P,CYP722,"LAB ON DESIGN,SYNTHESIS & CHARACTERIZATION OF ORG.",3,0,0,6,====,5
127,P,CYP501,PHYSICAL CHEMISTRY LABORATORY COURSE I,2,0,0,4,SHASHANK DEEP,35
128,P,CYD660,PROJECT PART 1,3,0,0,6,NARAYANAN KURUR,28
129,Q,CYP100,CHEMISTRY LABORATORY,2,0,0,4,JAI DEO SINGH,304
130,A,CSL630,ADVANCED DATA STRUCTURES,4,3,0,2,S N MAHESHWARI,38
131,A,CSL633,RESOURCE MANAGEMENT IN COMPUTER SYSTEMS,4,3,0,2,KOLIN PAUL,1
132,A,CSL102,INTRODUCTION TO COMPUTER SCIENCE,4,3,0,2,AMIT KUMAR,132
133,A,CSL101,INTRO TO COMPUTERS AND PROGRAMMING,4,3,0,2,SANDEEP SEN,179
134,B,CSL783,DIGITAL IMAGE ANALYSIS,4.5,3,0,3,PREM KUMAR KALRA,45
135,B,CSL719,SYNTHESIS OF DIGITAL SYSTEMS,4,3,0,2,PREETI RANJAN PANDA,33
136,B,CSL201,DATA STRUCTURES,5,3,0,4,HUZUR SARAN,118
137,C,CSL665,INTRODUCTION TO LOGIC & FUNCTIONAL PROGRAMMING,4,3,0,2,S A KUMAR,28
138,D,CSL860,SPECIAL TOPICS IN PARALLEL COMPUTATION,3,3,0,0,AMITABHA BAGCHI,16
139,D,CSL211,COMPUTER ARCHITECTURE,5,3,1,2,ANSHUL KUMAR,84
140,E,CSL771,DATABASE IMPLEMENTATIONS,4,3,0,2,S K GUPTA,44
141,F,CSL356,ANALYSIS AND DESIGN OF ALGORITHMS,4,3,1,0,NAVEEN GARG,80
142,F,CSL105,DISCRETE MATHEMATICAL STRUCTURES,4,3,1,0,S A KUMAR,70
143,H,CSL361,NUMERICAL AND SCIENTIFIC COMPUTING,5,3,1,2,S BANERJEE,20
144,J,CSL373,OPERATING SYSTEMS,5,3,0,4,KOLIN PAUL,28
145,J,CSL374,COMPUTER NETWORKS,4.5,3,0,3,VINAY JOSEPH RIBEIRO,74
146,J,CSL672,COMPUTER NETWORKS,4,3,0,2,VINAY JOSEPH RIBEIRO,28
147,K,CSL750,FOUNDATONS OF AUTOMATIC VERIFICATION,4,3,0,2,SANJIVA PRASAD,3
148,N,CSN110,IINTRODUCTON TO COMP SC. & ENGINEERING,2,0,0,4,PREETI RANJAN PANDA,70
149,P,CSL854,APPROXIMATION ALGORITHMS,3,3,0,0,NAVEEN GARG,14
150,P,CSV888,SPECIAL MODULE IN DATABASE SYSTEMS,1,1,0,0,SANDEEP SEN,7
151,P,CSP745,DIGITAL SYSTEMS LAB,3,0,0,6,KOLIN PAUL,7
152,P,CSS799,INDEPENDENT STUDY,3,0,3,0,SANJIVA PRASAD,3
153,P,CST410,PRACTICAL TRAINING,0,0,0,0,====,69
154,P,CSV881,SPECIAL MODULE IN HARDWARE SYSTEMS,1,1,0,0,M BALAKRISHNAN,22
155,P,CSD745,MINOR PROJECT,4,0,1,6,SANJIVA PRASAD,1
156,P,CSD852,MAJOR PROJECT PART 2 (CO),14,0,0,28,AMIT KUMAR,1
157,P,CSD310,MINI PROJECT (CS),3,0,0,6,VINAY JOSEPH RIBEIRO,7
158,P,CSD411,MAJOR PROJECT PART 1 (CS),4,0,0,8,S K GUPTA,45
159,P,CSP315,EMBEDDED SYSTEM DESIGH LAB,4,0,1,6,M BALAKRISHNAN,30
160,P,CSD750,MINOR PROJECT (CO),4,0,1,6,AMIT KUMAR,1
161,P,CS891S,PROJECT PART I,4,0,0,8,SANJIVA PRASAD,1
162,P,CSD853,MAJOR PROJECT PART 1 (CO),4,0,0,8,AMIT KUMAR,3
163,P,CSD412,MAJOR PROJECT PART 2 (CS),8,0,0,16,S K GUPTA,4
164,P,CSD851,MAJOR PROJECT PART 1 (CO),6,0,0,12,AMIT KUMAR,14
165,P,CS892S,PROJECT PART II,12,0,12,0,SANJIVA PRASAD,2
166,P,CSD895,MAJOR PROJECT,40,0,0,80,SANJIVA PRASAD,4
167,P,CSD893,MAJOR PROJECT PART - I,6,0,0,12,SANJIVA PRASAD,11
168,P,CSD894,MAJOR PROJECT PART-II,12,0,0,24,SANJIVA PRASAD,3
169,P,CSC410,COLLOQUIUM (CS),3,0,3,0,S K GUPTA,66
170,A,CEL793,AIR POLLUTION AND CONTROL,4,3,0,2,MUKESH KHARE,24
171,A,CEL701,ENGINEERING BEHAVIOUR OF SOILS,3,3,0,0,K K GUPTA,18
172,A,CEL721,DESIGN OF CONCRETE STRUCTURE,3,2,1,0,S N SINHA,33
173,A,CEL735,HYDROLOGIC PROCESSES & MODELING,3,3,0,0,RAKESH KHOSA,9
174,A,CEL753,STRUCTURAL GEOLOGY,3,2,0,2,K G SHARMA,8
175,A,CEL777,BUILDING SCIENCE,3,3,0,0,B BHATTACHARJEE,44
176,B,CEL757,FIELD EXPLORATION AND MEASUREMENT,3,3,0,0,VENKATA RAMANA GUNTURI,7
177,B,CEL772,QUANTITATIVE METHODS IN CONSTRUCTION MANAGEMENT,3,2,1,0,KUMAR NEERAJ JHA,50
178,B,CEL737,OPTIMISATION TECHNIQUES IN WATER RESOURCES,3,3,0,0,A KKESHARI,7
179,B,CEL703,SITE INVESTIGATIONS AND GROUND IMPROVEMENT,3,3,0,0,JAGDISH TELANGRAO SHAHU,17
180,B,CEL717,ADVANCED STRUCTURAL ANALYSIS,3,3,0,0,T K DATTA,23
181,B,CEL795,WATER AND WASTE-WATER TREATMENT PROCESSES,3,3,0,0,ATUL KUMAR MITTAL,16
182,B,CEL241,TRANSPORTATION ENGINEERING I,4,3,0,2,GEETAM TEWARI,69
183,C,CEL271,ELEMENTS OF SURVEYING,3,2,0,2,GAZALA HABIB,67
184,C,CEL899,ENVIRONMENTAL RISK ASSESSMENT,3,3,0,0,ARVIND KUMAR NEMA,30
185,C,CEL714,SP TOPICS IN GEOTECHNICAL AND GEOENVIRONMENTAL ENG,3,3,0,0,JAGDISH TELANGRAO SHAHU,20
186,C,CEL464,CONSTRUCTION CONTRACT AND ECONOMICS,3,2,1,0,KUMAR NEERAJ JHA,76
187,C,CEL739,GROUNDWATER HYDROLOGY,3,3,0,0,BHAGU RAM CHAHAR,25
188,C,CEL734,MATHEMATICAL AND NUMERICAL METHODS,3,2,1,0,G S BANIPAL,21
189,C,CEL771,CIVIL ENGG MATERIALS,3,3,0,0,SUPRATIC GUPTA,62
190,C,CEL762,SPECIAL TOPICS IN ROCK ENGINEERING,3,3,0,0,K G SHARMA,9
191,C,CEL782,PAVEMENT MATERIALS AND CONSTRUCTION TECHNIQUES,3,2,0,2,RAMACHANDRA RAO KALAGA,8
192,D,CEL783,TRAFFIC ENGG,4,3,0,2,RAMACHANDRA RAO KALAGA,16
193,D,CEL774,CONSTRUCTION ENGINEERING PRACTICES,3,3,0,0,B BHATTACHARJEE,77
194,D,CEL741,SURFACE WATER QUALITY MODELING AND CONTROL,3,3,0,0,SHASHI MATHUR,11
195,D,CEL733,FEM IN STRUCTURAL ENGINEERING,3,2,1,0,A K NAGPAL,30
196,D,CEL455,INTRODUCTION TO GEOGRAPHIC INFORMATION SYSTEMS,3,2,0,2,A K GOSAIN,20
197,D,CEL231,STRUCTURAL ANALYSIS I,5,3,1,2,ASHOK GUPTA,102
198,D,CEL442,TRAFFIC AND TRANSPORTATION PLANNING,3,2,1,0,GEETAM TEWARI,66
199,E,CEL433,ADVANCED STRUCTURAL DESIGN,4,3,0,2,ALOK MADAN,29
200,E,CEL321,GEOTECHNICAL ENGINEERING,5.5,3,1,3,JAGDISH TELANGRAO SHAHU,75
201,E,CEL421,GROUND IMPROVEMENT,4,3,0,2,VENKATA RAMANA GUNTURI,19
202,E,CEL451,WATER POWER ENGINEERING,4,3,0,2,A KKESHARI,22
203,E,CEL840,STOCHASTIC HYDROLOGY,3,3,0,0,RAKESH KHOSA,10
204,F,CEL889,EMERGING TECHNOLOGIES FORENVIRONMENTAL MGMT,3,3,0,0,BABU J ALAPPAT,22
205,F,CEP452,COMPUTATIONAL ASPECTS IN WATER RESOURCES,3,1,0,4,N K GARG,22
206,F,CEL705,GEOENVIRONMENTAL ENGINEERING,3,3,0,0,VENKATA RAMANA GUNTURI,13
207,F,CEL719,STRUCTURAL DYNAMICS,3,3,0,0,A K JAIN,23
208,F,CEL773,MANAGEMENT OF QUALITY AND SAFETY IN CONSTRUCTION,3,2,1,0,J UMA MAHESWARI,65
209,F,CEL331,STRUCTURAL ANALYSIS II,5,3,1,2,SURESH BHALLA,66
210,F,CEL422,ROCK ENGINEERING,3,3,0,0,K K GUPTA,19
211,F,CEL431,ADVANCED STRUCTURAL ANALYSIS,3,2,0,2,T K DATTA,17
212,F,CEL251,HYDROLOGY AND HYDRAULICS,6,3,1,4,SHASHI MATHUR,81
213,H,CEL339,CONCRETE TECHNLOGY AND MATERIALS,3,3,0,0,G S BANIPAL,26
214,H,CEL754,GEOTECHNICAL PROCESSES IN ROCK ENGG,3,3,0,0,JAGDISH TELANGRAO SHAHU,7
215,H,CEL769,PROJECT PLANNING & CONTROL,3,2,1,0,J UMA MAHESWARI,66
216,H,CEL731,PSC/COMPOSITE STRUCTURES,3,3,0,0,ALOK MADAN,34
217,H,CEL886,ENVIRONMENTAL SYSTEMS ANALYSIS,4,3,0,2,ARVIND KUMAR NEMA,18
218,K,CEP789,ENVIRONMENTAL CHEMISTRY AND MICROBIOLOGY,3,1,0,4,ATUL KUMAR MITTAL,17
219,K,CEL781,URBAN & REGIONAL TRANSPORTATION PLANNING,3,2,0,0,S K DEB,25
220,L,CEL787,TRANSPORTATION SAFETY AND ENVIRONMENT,3,3,0,0,DINESH MOHAN,25
221,M,CEL788,PUBLIC TRANSPORTATION SYSTEMS,3,3,0,0,GEETAM TEWARI,33
222,M,CEC410,COLLOQUIUM (CE),3,0,3,0,BHAGU RAM CHAHAR,76
223,N,CEN110,INTRODUCTION TO CIVIL ENGINEERING,2,0,0,4,VENKATA RAMANA GUNTURI,80
224,P,CET410,PRACTICAL TRAINING,0,0,0,0,BHAGU RAM CHAHAR,79
225,P,CED310,MINI PROJECT (CE),3,0,0,6,ARVIND KUMAR NEMA,6
226,P,CED411,MAJOR PROJECT PART 1 (CE),3,0,0,6,ARVIND KUMAR NEMA,68
227,P,CED412,MAJOR PROJECT PART 2 (CE),7,0,0,14,ARVIND KUMAR NEMA,7
228,P,CED760,MINOR PROJECT IN ROCK ENGG UNDER GROUND STRUCTURE,3,0,0,6,K S RAO,1
229,P,CED811,MAJOR PROJECT PART-I,6,0,0,12,JAGDISH TELANGRAO SHAHU,7
230,P,CED821,MAJOR PROJECT PART - I,6,0,0,12,G S BANIPAL,25
231,P,CED841,MAJOR PROJECT PART-I,6,0,0,12,RAKESH KHOSA,6
232,P,CED871,MAJOR PROJECT PART-I,6,0,0,12,KUMAR NEERAJ JHA,16
233,P,CED875,MAJOR PROJECT PART-I,6,0,0,12,KUMAR NEERAJ JHA,25
234,P,CED881,MAJOR PROJECT PART-I,6,0,0,12,GEETAM TEWARI,8
235,P,CED891,MAJOR PROJECT PART-I,6,0,0,12,BABU J ALAPPAT,11
236,R,CEP770,COMPUTATION LAB FOR CONSTRUCTION MANAGMENT,3,0,0,6,KUMAR NEERAJ JHA,22
237,R,CEP740,SIMULATION LABORATORY,4,1,0,6,N K GARG,7
238,X,CEL845,TRANSPORTATION & TRAFFIC INFRASTRUCTURE DESIGN,3,3,0,0,S K DEB,3
239,A,EEL101,FUNDAMENTALS OF ELECT ENGG,4,3,0,2,G S VISWESWARAN,96
240,A,EEL601,COMPUTER ARCHITECTURE,3,3,0,0,SUMANTRA DUTTA ROY,35
241,A,EEL711,SIGNAL THEORY,3,3,0,0,RANJAN KUMAR MALLIK,57
242,A,EEL721,LINEAR SYSTEM THEORY,3,3,0,0,MASHUQ-UN-NABI,17
243,A,EEL743,POWER ELECTRONIC DEVICES & DC CONVERTERS,3,3,0,0,MUMMADI VEERACHARY,25
244,A,EEL791,POWER SYSTEM ANALYSIS,3,3,0,0,ABHIJIT RAMCHANDRA ABHYANKAR,11
245,A,EEL858,MOBILE COMPUTING,3,3,0,0,H M GUPTA,13
246,A,EEL861,SELECTED TOPICS IN COMMUN ENGG.-I,3,3,0,0,SURINDER PRASAD,7
247,A,EEL890,PHOTONIC SWITCHING AND NETWORKING,3,3,0,0,SUBRAT KAR,13
248,B,EEL794,HIGH VOLTAGE DC TRANSMISSION,3,3,0,0,BHIM SINGH,30
249,B,EEL771,RANDOM PROCESS IN CONTROL & ESTIMATION,3,3,0,0,INDRA NARAYAN KAR,11
250,B,EEL705,EMBEDDED SYSTEMS AND APPLICATIONS,3,3,0,0,SUBRAT KAR,20
251,B,EEL706,SOFT COMPUTING,3,3,0,0,M HANMANDLU,43
252,B,EEL702,SYSTEM SOFTWARE,4,3,0,2,SWADES KUMAR DE,34
253,C,EEL218,PHYSICAL ELECTRONICS,3,3,0,0,M JAGADESH KUMAR,19
254,C,EEL358,OPERATING SYSTEMS,3,3,0,0,M HANMANDLU,78
255,C,EEL744,AC CONTROLLERS,3,3,0,0,J K CHATTERJEE,26
256,C,EEL732,MICROELECTRONICS,3,3,0,0,M JAGADESH KUMAR,30
257,C,EEL102,PRINCIPLES OF ELECT ENGG,4,3,0,2,NILANJAN SENROY,101
258,D,EEL713,MICROWAVE THEORY AND CIRCUITS,3,3,0,0,ANANJAN BASU,18
259,D,EEL786,MIXED SIGNAL CIRCUIT DESIGN,3,3,0,0,BASABI BHAUMIK,19
260,D,EEL305,ELECTRIC DRIVES,4,3,1,0,G BHUVANESWARI,19
261,D,EEL202,CIRCUIT THEORY,4,3,1,0,R K PATNEY,105
262,D,EEL207,ENGINEERING ELECTROMAGNETICS,4,3,1,0,MAHESH P ABEGAONKAR,69
263,D,EEL862,SELECTED TOPICS IN COMMUNICATION ENGINEERING-II,3,3,0,0,S D JOSHI,10
264,D,EEP306,COMMUNICATION ENGINEERING LABORATORY,1.5,0,0,3,H M GUPTA,62
265,D,EEP719,COMMUNICATION LAB II,2,0,0,4,S K KAUL,18
266,E,EEP201,DIGITAL ELECTRONICS LABORATORY,1.5,0,0,3,SHOURIBRATA CHATTERJEE,210
267,E,EEP209,POWER ELECTRONICS LABORATORY,1.5,0,0,3,MUMMADI VEERACHARY,20
268,E,EEL823,DISCRETE TIME SYSTEMS,3,3,0,0,S JANARDHANAN,15
269,E,EEL793,POWER SYSTEMS TRANSIENTS,3,3,0,0,BIJAYA KETAN PANIGRAHI,20
270,E,EEL319,DIGITAL SIGNAL PROCESSING,4,3,0,2,BREJESH LALL,75
271,E,EEL754,COMPUTER GRAPHICS,4,3,0,2,SANTANU CHAUDHURY,24
272,E,EEL734,MOS VLSI,3,3,0,0,JAYADEVA,28
273,E,EEL736,BIOMEDICAL ELECTRONICS,3,3,0,0,S MK RAHMAN,22
274,E,EEL741,MODELLING & ANALYSIS OF ELECTRICAL MACHINES,3,3,0,0,K RRAJAGOPAL,20
275,E,EEL201,DIGITAL ELECTRONICS,4,3,1,0,SHOURIBRATA CHATTERJEE,245
276,F,EEL769,DIGITAL COMMUNICATION AND INFORMATION SYSTEMS,3,3,0,0,VINOD CHANDRA,21
277,F,EEL303,POWER ENGINEERING - I,4,3,1,0,P R BIJWE,78
278,F,EEL704,ROBOTICS AND AUTOMATION,3,3,0,0,RKP BHATT,15
