S No,Slot,Course Code,Course Description,Course Credit,L,T,P,Course Co-Ordinator,Registered
567,P,EPP215,PHYSICS LABORATORY - II,3,0,0,6,SUJEET CHAUDHARY,36
568,P,EPP301,DESIGN LABORATORY,4,0,0,8,R D TAREY,38
569,P,EPT410,PRACTICAL TRAINING,0,0,0,0,NEERAJ KHARE,26
570,P,EPV451,SELECTED TOPICS IN PHOTONICS AND OPTOELECTRONICS,2,2,0,0,GADDAM VIJAYA PRAKASH,11
571,P,PHD651,PROJECT I,3,0,0,6,VARSHA BANERJEE,29
572,P,PHD652,PROJECT II,6,0,0,12,M R SHENOY,1
573,P,PHD851,MAJOR PROJECT PART-I,6,0,0,12,JOBY JOSEPH,13
574,P,EPD411,MAJOR PROJECT PART 1 (PH),3,0,0,6,GADDAM VIJAYA PRAKASH,30
575,P,EPD412,MAJOR PROJECT PART 2 (PH),7,0,0,14,GADDAM VIJAYA PRAKASH,1
576,P,PHP561,LABORATORY I,6,0,0,12,V D VANKAR,35
577,P,PHP563,ADVANCED LABORATORY,4,0,0,8,V D VANKAR,31
578,P,PHP711,SOLID STATE MATERIALS LAB-I,4.5,0,0,9,G B REDDY,15
579,P,PHP761,OPTICS LABORATORY- I,3,0,0,6,P SENTHILKUMARAN,17
580,P,PHP763,OPTICAL WORKSHOP,3,0,0,6,RAKESH KUMAR,17
581,P,PHS855,INDEPENDENT STUDY,3,0,3,0,ANURAG SHARMA,2
582,Q,PHP100,PHYSICS LABORATORY,2,0,0,4,A K SHUKLA,344
583,A,TTL711,POLYMER AND FIBRE CHEMISTRY,3,3,0,0,MANJEET JASSAL,20
584,A,TTL721,THEORY OF YARN STRUCTURE,3,2,1,0,S M ISHTIAQUE,27
585,B,TTL772,COMPUTER PROGRAMMING AND ITS APPLICATION,3,2,0,2,PRAGYA JAIN,37
586,B,TTL211,STRUCTURE & PHYSICAL PROPERTIES OF FIBRES,3,3,0,0,MANGALA JOSHI,70
587,B,TTP200,DESIGN OF TEXTILE PRODUCTS AND PROCESSES,2,0,0,4,DEEPTI GUPTA,55
588,C,TTP221,YARN MANUFACTURE LAB I,1,0,0,2,DIPAYAN DAS,63
589,C,TTP361,TEXTILE TESTING LABORATORY,1,0,0,2,SAMRAT MUKHOPADHYAY,50
590,C,TTL221,YARN MANUFACTURE I,4,3,1,0,R ALAGIRUSAMY,60
591,C,TTL771,ELECTRONICS AND CONTROLS FOR TEXTILE INDUSTRY,4,3,0,2,SUNEET TULI,26
592,C,TTL741,COLOURATION OF TEXTILES,3,3,0,0,SAMRAT MUKHOPADHYAY,17
593,D,TTL731,THEORY OF FABRIC STRUCTURE,3,2,1,0,P K BANERJEE,26
594,D,TTL712,POLYMER AND FIBRE PHYSICS,3,3,0,0,B L DEOPURA,23
595,D,TTP211,INTRODUCTION TO FIBRES,2,1,0,2,SOURABH GHOSH,66
596,E,TTP231,FABRIC MANUFACTURE LABORATORY I,1,0,0,2,AMIT RAWAL,53
597,E,TTL713,TECHNOLOGY OF MELT SPUN FIBRES,4,3,1,0,ASHWINI K AGRAWAL,20
598,E,TTL722,MECHANICS OF SPINNING PROCESS,3,3,0,0,R S RENGASAMY,27
599,E,TTL363,TECHNICAL TEXTILES,4,3,1,0,V K KOTHARI,36
600,E,TTL361,TEXTILE TESTING,3,3,0,0,APURBA DAS,51
601,E,TTL231,FABRIC MANUFACTURE I,4,3,1,0,ABHIJIT MUJUMDAR,73
602,F,TTL241,TECHNOLOGY OF TEXTILE PREPARATION & FINISHING,3,3,0,0,DEEPTI GUPTA,52
