1,P,AMD310,MINI PROJECT,3.0,0,0,6,MURALI CHOLEMARI,9
2,P,AMD811,MAJOR PROJECT PART-I,6.0,0,0,12,RAJESH PRASAD,27
3,P,AMD812,MAJOR PROJECT PART-II,12.0,0,0,24,RAJESH PRASAD,0
4,P,AMD813,MAJOR PROJECT PART-I,6.0,0,0,12,BALAJI SRINIVASAN,23
5,P,AMD814,MAJOR PROJECT PART-II,12.0,0,0,24,BALAJI SRINIVASAN,0
6,P,AMD895,MAJOR PROJECT,40.0,0,0,80,MALOY SINGHA,1
7,P,AMD897,MINOR PROJECT,4.0,0,0,8,MALOY SINGHA,0
8,P,AMD899,DESIGN PROJECT,10.0,0,0,20,R VIJAYAKUMAR,20
9,AP,AML100,ENGINEERING MECHANICS,4.0,3,1,0,PUNEET MAHAJAN,211
10,AM,AML100,ENGINEERING MECHANICS,4.0,3,1,0,PUNEET MAHAJAN,239
11,B,AML110,ENGINEERING MECHANICS,4.0,3,0,2,SANJEEV SANGHI,159
12,EM,AML120,MATERIALS SCIENCE,4.0,3,0,2,RAJESH PRASAD,27
13,E,AML120,MATERIALS SCIENCE,4.0,3,0,2,RAJESH PRASAD,171
14,D,AML130,Experimental Methods and Analysis,5.0,3,1,2,S N SINGH,1
15,D,AML140,MECHANICS OF SOLIDS,4.0,3,1,0,BADRI PATEL,109
16,B,AML150,MECHANICS OF SOLIDS & FLUIDS,5.0,3,1,2,MURALI CHOLEMARI,49
17,B,AML160,MECHANICS OF FLUIDS,4.0,3,1,0,S V VEERAVALLI,119
18,M,AML701,ENGG MATHEMATICS & MECHANICS,3.0,3,0,0,S N SINGH,23
19,A,AML702,APPLIED COMPUTATIONAL METHOD,4.0,3,0,2,BALAJI SRINIVASAN,33
20,B,AML705,FINITE ELEMENT METHODS,4.0,3,0,2,MALOY SINGHA,39
21,B,AML710,COMPUTER AIDED DESIGN,4.0,3,0,2,SRIRAM HEGDE,41
22,E,AML711,ADVANCED FLUID MECHANICS,4.0,3,1,0,P K SEN,25
23,E,AML713,APPLIED FLUID DYNAMICS,4.0,3,1,0,P K SEN,24
24,D,AML715,VISCOUS FLUID FLOWS,3.0,3,0,0,MURALI CHOLEMARI,35
25,C,AML731,APPLIED ELASTICITY,4.0,3,1,0,AJEET KUMAR,28
26,C,AML732,SOLID MECHANICS,3.0,3,0,0,ANAMIKA PRASAD,26
27,D,AML733,DYNAMICS,3.0,3,0,0,S PRADYUMNA,21
28,D,AML734,ADVANCED DYNAMICS,4.0,3,1,0,SUHAIL AHMED,47
29,B,AML750,MODERN ENGINEERING MATERIALS,3.0,3,0,0,JAYANT JAIN,30
30,B,AML751,MATERIALS FOR MARINE VEHICLES,3.0,3,0,0,JAYANT JAIN,20
31,F,AML771,DECISION THEORY & DESIGN OPTIMIZATION,3.0,3,0,0,SANTOSH KAPURIA,32
32,C,AML773,MODELLING AND ANALYSIS,3.0,3,0,0,P K SEN,31
33,E,AML775,DESIGN METHODS,3.0,3,0,0,D K SEHGAL,49
34,D,AML791,SHIP RESISTANCE & PROPULSION,3.0,3,0,0,R VIJAYAKUMAR,23
35,F,AML792,STRUCTURAL DESIGN OF SHIPS,3.0,3,0,0,R VIJAYAKUMAR,23
36,B,AML794,WARSHIP DESIGN,3.0,3,0,0,P KULKARNI,23
37,F,AML805,ADVANCED FINITE ELEMENT METHODS,3.0,3,0,0,MALOY SINGHA,18
38,H,AML851,FRACTURE MECHANICS,3.0,3,0,0,R K PANDEY,30
39,D,AMP772,FEASIBILITY STUDY,3.0,1,0,4,D K SEHGAL,31
40,A,AMP776,PRODUCT DESIGN,3.0,1,0,4,VIKRANT TIWARI,31
41,P,AMS801,INDEPENDENT STUDT,3.0,0,3,0,RAJESH PRASAD,0
42,P,AMS802,INDEPENDENT STUDY,3.0,0,3,0,BALAJI SRINIVASAN,2
43,P,ASC861,ATMOSPHERIC SCIENCE COLLOQUIUM,1.0,0,1,0,S K DASH,19
44,P,ASD891,MAJOR PROJECT PART-I,6.0,0,0,12,A D RAO,13
45,P,ASD892,MAJOR PROJECT PART-II,12.0,0,0,24,A D RAO,1
46,F,ASL310,FUNDAMENTALS OF ATMOSPHERE AND OCEAN,4.0,3,0,2,SAGNIK DEY,122
47,H,ASL410,NUMERICAL SIMULATION OF ATMOSPHERIC AND OCEANIC PH,4.0,3,0,2,S K DASH,92
48,C,ASL701,DYNAMICS OF ATMOSPHERE AND OCEAN,3.0,3,0,0,MAITHILI SHARAN,25
49,A,ASL703,PHYSICS OF ATMOSPHERE AND OCEAN,3.0,3,0,0,O P SHARMA,28
50,B,ASL705,BOUNDARY LAYER METEOROLOGY AND AIR POLLUTION,3.0,3,0,0,PRAMILA GOEL,25
51,D,ASL707,MATHEMATICAL & STATISTICAL METHODS IN ATMOSPHERIC,3.0,3,0,0,DILIP GANGULY,57
52,L,ASL710,ATMOSHPHERIC PHYSICS,3.0,3,0,0,VIMLESH PANT,83
53,D,ASL715,SCIENCE OF CLIMATE CHANGE,4.0,3,0,2,KRISHNA ACHUTARAO,17
54,E,ASL803,ADVANCED DYNAMIC OCEANOGRAPHY,3.0,3,0,0,A D RAO,7
55,P,ASP751,SIMULATION LAB-I: WHETHERANALYSIS & FORECASTING,2.0,0,0,4,POORNIMA AGARWAL,16
56,P,ASP801,SIMULATION LAB-III OCEAN-ATMOSPHERE FORECAST METH,3.0,0,1,4,H C UPADHYAYA,13
57,P,BEC450,COLLOQUIUM (BB),3.0,0,3,0,RITU KULSHRESTH A,41
58,P,BED800,MAJOR PROJECT,40.0,0,0,80,D SUNDAR,6
59,P,BED851,MAJOR PROJECT PART 1 (BB),6.0,0,0,12,RITU KULSHRESTH A,23
60,P,BED852,MAJOR PROJECT PART 2 (BB),14.0,0,0,28,RITU KULSHRESTH A,1
61,P,BED853,MAJOR PROJECT PART 1 (BB),4.0,0,0,8,RITU KULSHRESTH A,9
62,P,BED854,MAJOR PROJECT PART 2 (BB),16.0,0,0,32,RITU KULSHRESTH A,0
63,E,BEL101,BIOCHEMISTRY,5.5,3,1,3,PRASHANT MISHRA,44
64,F,BEL103,GENERAL MICROBIOLOGY,4.5,3,0,3,V S BISARIA,44
65,C,BEL110,MOLECULAR CELL BIOLOGY,3.0,3,0,0,SHILPI SHARMA,79
66,C,BEL301,BIOPROCESS ENGINEERING,3.0,3,0,0,ATUL NARANG,44
67,E,BEL403,ENZYME ENGINEERING AND TECHNOLOGY,4.0,3,0,2,RAVI ELANGOVAN,40
68,D,BEL412,IMMUNOLOGY,4.0,3,0,2,RITU KULSHRESTH A,13
69,H,BEL413,MODELLING AND SIMULATION OF BIOPROCESSES,4.0,3,0,2,A K SRIVASTAVA,40
70,F,BEL416,MEMBRANE APPLICATIONS IN BIOPROCESSING,3.0,3,0,0,G P AGARWAL,39
71,C,BEL701,BIOTECHNOLOGY RESOURCE PLANNING AND IPR ISSUES,2.0,2,0,0,V S BISARIA,33
72,D,BEL715,BIOLOGICAL WASTE TREATMENT,4.0,3,0,2,T R SREEKRISHN AN,37
73,A,BEL717,ANIMAL CELL TECHNOLOGY,4.0,3,0,2,P K CHOUDHURY,19
74,H,BEL719,CURRENT TOPICS IN BIOCHEMICAL ENGINEERING AND BIOT,3.0,3,0,0,PREETI SRIVASTAVA ,24
75,J,BEL722,GENOMICS AND PROTEOMICS,3.0,3,0,0,D SUNDAR,8
76,H,BEL810,ENZYME AND MICROBIAL TECHNOLOGY,3.0,3,0,0,RAVI ELANGOVAN,8
77,J,BEL820,DOWNSTREAM PROCESSING,3.0,3,0,0,G P AGARWAL,14
78,F,BEL830,MICROBIAL BIOCHEMISTRY,3.0,3,0,0,SAROJ MISHRA,15
79,E,BEL850,ADVANCED BIOCHEMICAL ENGINEERING,5.0,3,0,4,SHAIKH AHAMMAD,15
80,NP,BEN150,INTRO TOBO CHEM.&BO TEC HNOLOHY,2.0,0,0,4,T R SREEKRISHN AN,0
81,F,BEP303,DESIGN OF BIOPROCESSES,2.5,0,1,3,RAVI ELANGOVAN,45
82,P,BEP840,LAB TECH IN MICROBIAL BIOCHEMISTRY,2.0,0,0,4,PRASHANT MISHRA,11
83,P,BER350,PROFESSIONAL PRACTICES (BB),2.0,0,1,2,V S BISARIA,43
84,P,BES350,INDEPENDENT STUDY (BB),3.0,0,3,0,V S BISARIA,0
85,P,BET450,PRACTICAL TRAINING,0.0,0,0,0,ATUL NARANG,41
86,H,BML700,INTRODUCTION TO BASIC MEDICAL SCS FOR ENGINEERS,3.0,3,0,0,NIVEDITA KARMAKAR GOHIL,7
87,B,BML800,RESEARCH TECHNIQUES IN BIOMEDICAL ENGINEERING,3.0,3,0,0,SNEH ANAND,3
88,J,BML810,TISSUE ENGINERING,3.0,3,0,0,ALOK RAY,1
89,P,BSD895,MAJOR PROJECT(MSR),40.0,0,0,80,S DHARMARAJA,4
90,M,CEC410,COLLOQUIUM (CE),3.0,0,3,0,BABU J ALAPPAT,112
91,P,CED310,MINI PROJECT (CE),3.0,0,0,6,N K GARG,33
92,P,CED411,MAJOR PROJECT PART 1 (CE),3.0,0,0,6,N K GARG,109
93,P,CED412,MAJOR PROJECT PART 2 (CE),7.0,0,0,14,N K GARG,3
94,P,CED701,MINOR PROJECT,3.0,0,0,6,TANUSREE CHAKRABORT Y,4
95,P,CED760,MINOR PROJECT IN ROCK ENGG UNDER GROUND STRUCTURE,3.0,0,0,6,R AYOTHIRAMA N,0
96,P,CED811,MAJOR PROJECT PART-I,6.0,0,0,12,TANUSREE CHAKRABORT Y,15
97,P,CED820,MAJOR PROJECT PART - I,6.0,0,0,12,GURMAIL BENIPAL,0
98,P,CED821,MAJOR PROJECT PART - I,6.0,0,0,12,VASANT MATSAGAR,27
99,P,CED822,MAJOR PROJECT PART-II,12.0,0,0,24,VASANT MATSAGAR,3
100,P,CED841,MAJOR PROJECT PART-I,6.0,0,0,12,RAKESH KHOSA,19
101,P,CED842,MAJOR PROJECT PART-II,12.0,0,0,24,RAKESH KHOSA,1
102,P,CED851,MAJOR PROJECT PART-I,6.0,0,0,12,R AYOTHIRAMA N,18
103,P,CED852,MAJOR PROJECT PART-II,12.0,0,0,24,B BASHA,0
104,P,CED871,MAJOR PROJECT PART-I,6.0,0,0,12,ABHIJIT GANGULI ,24
105,P,CED872,MAJOR PROJECT PART-II,12.0,0,0,24,ABHIJIT GANGULI ,0
106,P,CED875,MAJOR PROJECT PART-I,6.0,0,0,12,SHASHANK BISHNOI,27
107,P,CED876,MAJOR PROJECT PART-II,12.0,0,0,24,SHASHANK BISHNOI,0
108,P,CED881,MAJOR PROJECT PART-I,6.0,0,0,12,GEETAM TEWARI,8
109,P,CED882,MAJOR PROJECT PART-II,12.0,0,0,24,GEETAM TEWARI,0
110,P,CED891,MAJOR PROJECT PART-I,6.0,0,0,12,ARUN KUMAR,19
111,P,CED892,MAJOR PROJECT PART-II,12.0,0,0,24,ARUN KUMAR,0
112,P,CED895,MAJOR PROJECT (CEY),40.0,0,0,80,A K JAIN,4
113,H,CEL120,POLLUTION PREVENTION AND CONTROL,3.0,3,0,0,ATUL MITTAL,156
114,E,CEL140,ENVIRONMENTAL STUDIES,3.0,3,0,0,BABU J ALAPPAT,163
115,D,CEL231,STRUCTURAL ANALYSIS I,5.0,3,1,2,ABHIJIT GANGULI ,121
116,B,CEL241,TRANSPORTATION ENGINEERING I,4.0,3,0,2,RAMACHAND RA KALAGA,108
117,F,CEL251,HYDROLOGY AND HYDRAULICS,6.0,3,1,4,SHASHI MATHUR,115
118,C,CEL271,ELEMENTS OF SURVEYING,3.0,2,0,2,GAZALA HABIB,108
119,E,CEL321,GEOTECHNICAL ENGINEERING,5.5,3,1,3,JAGDISH SHAHU,113
120,F,CEL331,STRUCTURAL ANALYSIS II,5.0,3,1,2,DIPTI RANJAN SAHOO,108
121,H,CEL339,CONCRETE TECHNLOGY AND MATERIALS,3.0,3,0,0,SHASHANK BISHNOI,53
122,E,CEL421,GROUND IMPROVEMENT,4.0,3,0,2,TANUSREE CHAKRABORT Y,31
123,F,CEL422,ROCK ENGINEERING,3.0,3,0,0,VENKATA RAMANA,33
124,F,CEL431,ADVANCED STRUCTURAL ANALYSIS,3.0,2,0,2,VASANT MATSAGAR,10
125,H,CEL433,ADVANCED STRUCTURAL DESIGN,4.0,3,0,2,ALOK MADAN,45
126,D,CEL442,TRAFFIC AND TRANSPORTATION PLANNING,3.0,2,1,0,S K DEB,19
127,H,CEL451,WATER POWER ENGINEERING,4.0,3,0,2,A K KESHARI,28
128,D,CEL455,INTRODUCTION TO GEOGRAPHIC INFORMATION SYSTEMS,3.0,2,0,2,A K GOSAIN,40
129,E,CEL464,CONSTRUCTION CONTRACT AND ECONOMICS,3.0,2,1,0,KUMAR JHA,66
130,J,CEL610,FOUNDATION ENGINEERING,3.0,3,0,0,BAPPADITYA MANNA,47
131,A,CEL701,ENGINEERING BEHAVIOUR OF SOILS,3.0,3,0,0,VENKATA RAMANA,24
132,B,CEL703,SITE INVESTIGATIONS AND GROUND IMPROVEMENT,3.0,3,0,0,MANOJ DATTA,16
133,D,CEL705,GEOENVIRONMENTAL ENGINEERING,3.0,3,0,0,JAGDISH SHAHU,25
134,A,CEL707,SOIL DYNAMICS AND GEOTECHNICAL EARTHQUAKE ENGG,3.0,3,0,0,R AYOTHIRAMAN,29
135,A,CEL717,ADVANCED STRUCTURAL ANALYSIS,3.0,3,0,0,SURESH BHALLA,37
136,D,CEL719,STRUCTURAL DYNAMICS,3.0,3,0,0,A K JAIN,44
137,F,CEL729,ADVANCED DESIGN OF BRIDGES,3.0,2,1,0,SUPRATIC GUPTA,19
138,H,CEL731,PSC/COMPOSITE STRUCTURES,3.0,3,0,0,A K NAGPAL,26
139,E,CEL733,FEM IN STRUCTURAL ENGINEERING,3.0,2,1,0,A K NAGPAL,34
140,C,CEL734,MATHEMATICAL AND NUMERICAL METHODS,3.0,2,1,0,GURMAIL BENIPAL,27
141,A,CEL735,HYDROLOGIC PROCESSES & MODELING,3.0,3,0,0,RAKESH KHOSA,29
142,B,CEL737,OPTIMISATION TECHNIQUES IN WATER RESOURCES,3.0,3,0,0,A K KESHARI,38
143,E,CEL739,GROUNDWATER HYDROLOGY,3.0,3,0,0,BHAGU CHAHAR,28
144,D,CEL751,ENGINEERING PROPERTIES OF ROCKS & ROCK,3.0,3,0,0,K G SHARMA,27
145,A,CEL753,STRUCTURAL GEOLOGY,3.0,2,0,2,K S RAO,21
146,B,CEL754,GEOTECHNICAL PROCESSES IN ROCK ENGG,3.0,3,0,0,MANOJ DATTA,20
147,E,CEL757,FIELD EXPLORATION AND MEASUREMENT,3.0,3,0,0,R AYOTHIRAMA N,21
148,C,CEL760,FINITE ELEMENT METHOD IN GEOTECHNICAL ENGG,3.0,3,0,0,K G SHARMA,38
149,D,CEL769,PROJECT PLANNING & CONTROL,3.0,2,1,0,J MAHESWARI,99
150,B,CEL771,CIVIL ENGG MATERIALS,3.0,3,0,0,SHASHANK BISHNOI,76
151,A,CEL772,QUANTITATIVE METHODS IN CONSTRUCTION MANAGEMENT,3.0,2,1,0,K CHANDRASHE KHAR IYER,92
152,C,CEL773,MANAGEMENT OF QUALITY AND SAFETY IN CONSTRUCTION,3.0,2,1,0,J MAHESWARI,88
