S No,Slot,Course Code,Course Description,Course Credit,L,T,P,Course Co-Ordinator,Registered
1,A,AML831,THEORY OF PLATES AND SHELLS,3,3,0,0,SANTOSH KAPURIA,9
2,A,AML832,APPLICATIONS OF THEORY OF PLATES AND SHELLS,2,2,0,0,YOGENDRA NATH,23
3,B,AML710,COMPUTER AIDED DESIGN,4,3,0,2,SRIRAM HEGDE,80
4,B,AML360,ENGINEERING FLUID FLOWS,4,3,1,0,V SESHADRI,15
5,B,AML110,ENGINEERING MECHANICS,4,3,0,2,D K SEHGAL,0
6,B,AML871,PRODUCT RELIABILITY AND MAINTENANCE,3,3,0,0,SUHAIL AHMED,26
7,B,AML795,SUBMARINE DESIGN,3,3,0,0,BALAJI SRINIVASAN,23
8,C,AML883,PROPERTIES & SELECTION OF ENGG MATERIALS,3,3,0,0,SANTOSH S HOSMANI,26
9,C,AML833,APPLIED PLASTICITY,3,3,0,0,YOGENDRA NATH,0
10,C,AML793,SHIP DYNAMICS,3,3,0,0,BALAJI SRINIVASAN,23
11,D,AML130,EXPERIMENTAL METHODS AND ANALYSIS,5,3,1,2,S V VEERAVALLI,68
12,D,AMP262,FLUIDS & SOLIDS LABORATORY,1.5,0,0,3,R K MITTAL,95
13,D,AML310,COMPUTATIONAL MECHANICS,4,3,0,2,SUHAIL AHMED,10
14,D,AML812,TURBULENT SHEAR FLOWS,3,3,0,0,MURALI RAMAN CHOLEMARI,11
15,D,AML852,ENGINEERING FAILURE ANALYSIS AND PREVENTION,3,3,0,0,R K PANDEY,31
16,E,AML702,APPLIED COMPUTATIONAL METHOD,4,3,0,2,BALAJI SRINIVASAN,35
17,E,AML150,MECHANICS OF SOLIDS & FLUIDS,5,3,1,2,ANUPAM DEWAN,112
18,E,AML700,EXPERIMENTAL METHODS FOR SOLID AND FLUIDS,4,3,0,2,R K MITTAL,21
19,E,AML120,MATERIALS SCIENCE,4,3,0,2,S K GUPTA,179
20,F,AML835,MECHANICS OF COMPOSITE MATERIALS,3,3,0,0,SANTOSH KAPURIA,11
21,H,AML706,FINITE ELEMENT METHODS & ITS APPL TO MARINE STRU,3,3,0,0,PUNEET MAHAJAN,23
22,H,AML705,FINITE ELEMENT METHODS,4,3,0,2,BADRI PRASAD PATEL,88
23,J,AML712,NUMERICAL METHODS IN FLUID FLOWS,3,3,0,0,P K SEN,36
24,J,AML774,MODELLING AND ANALYSIS II,3,3,0,0,MALOY KUMAR SINGHA,24
25,K,AML410,COMPUTATIONAL METHODS IN FLUID DYNAMICS,4,3,0,2,SANJEEV SANGHI,0
26,K,AML811,ADVANCED COMPUTATIONAL FLUID DYNAMICS,3,3,0,0,SANJEEV SANGHI,13
27,K,AML855,SOLID STATE PHASE TRANSFORMATIONS,3,3,0,0,RAJESH PRASAD,6
28,P,AMD895,MAJOR PROJECT,40,0,0,80,BADRI PRASAD PATEL,2
29,P,AMD813,MAJOR PROJECT PART-I,6,0,0,12,BADRI PRASAD PATEL,1
30,P,AMD897,MINOR PROJECT,4,0,0,8,BALAJI SRINIVASAN,23
31,P,AMD310,MINI PROJECT (AM),3,0,0,6,S V VEERAVALLI,2
32,P,AMS801,INDEPENDENT STUDT,3,0,3,0,V SESHADRI,0
33,P,AMD812,MAJOR PROJECT PART-II,12,0,0,24,MURALI RAMAN CHOLEMARI,18
34,P,AMD814,MAJOR PROJECT PART-II,12,0,0,24,MALOY KUMAR SINGHA,16
35,R,AMP777,PRODUCT DESIGN PROJECT II,2,0,0,4,S N SINGH,23
36,B,BEL702,BIOPROCESS PLANT DESIGN,5,3,0,4,T RSREEKRISHNAN,31
37,B,BEL102,BIOPROCESS CALCULATIONS,4,3,1,0,P K ROYCHOUDHURY,52
38,C,BEL411,FOOD SCIENCE AND ENGINEERING,3,3,0,0,S N MUKHOPADHYAY,24
39,D,BEL711,RECOMBINANT DNA TECHNOLOGY,4,2,0,4,SAROJ MISHRA,29
40,D,BEL110,MOLECULAR CELL BIOLOGY,3,3,0,0,SHILPI SHARMA,78
41,D,BEL312,CARBOHYDRATES AND LIPIDS IN BIOTECHNOLOGY,3,2,1,0,SUBHASH CHAND,14
42,D,BEL712,PLANT CELL TECHNOLOGY,3,2,0,2,A K SRIVASTAVA,15
43,D,BEL311,PHYSICAL AND CHEMICAL PROPERTIES OF BIOMOLECULES,3,2,1,0,RAVI KRISHNAN ELANGOVAN,45
44,E,BEL721,BIONANOTECHNOLOGY,3,3,0,0,PRASHANT MISHRA,11
45,E,BER350,PROFESSIONAL PRACTICES (BB),2,0,1,2,V S BISARIA,46
46,E,BEL720,BIOTECHNOLOGY IN FOOD PROCESSING,3,3,0,0,S N MUKHOPADHYAY,22
47,E,BEL401,BIOPROCESS TECHNOLOGY,2,2,0,0,V S BISARIA,31
48,F,BEL703,DOWNSTREAM PROCESSING IN BIOTECHNOLOGY,5,3,0,4,ATUL NARANG,33
49,F,BEL204,MOLECULAR BIOLOGY AND GENETICS,4.5,3,0,3,RITU KULSHRESTHA,30
50,H,BEL418,BIOINFORMATICS,3,2,0,2,D SUNDAR,24
51,H,BEL302,FLUID SOLID SYSTEMS,3,3,0,0,G P AGARWAL,35
52,H,BEL419,ENZYME CATALYZED ORGANIC SYNTHESIS,3,2,0,2,PRASHANT MISHRA,10
53,J,BML810,TISSUE ENGINERING,3,3,0,0,HARPAL SINGH,0
54,P,BED800,MAJOR PROJECT,40,0,0,80,PRASHANT MISHRA,9
55,P,BES350,INDEPENDENT STUDY (BB),3,0,3,0,SHILPI SHARMA,2
56,P,BED851,MAJOR PROJECT PART 1 (BB),6,0,0,12,PRASHANT MISHRA,2
57,P,BED854,MAJOR PROJECT PART 2 (BB),16,0,0,32,PRASHANT MISHRA,0
58,P,BEC750,SEMINAR (BB),0,1,0,0,D SUNDAR,28
59,P,BED852,MAJOR PROJECT PART 2 (BB),14,0,0,28,PRASHANT MISHRA,26
60,A,CHL721,ADVANCED CHEMICAL ENGG THERMODYNAICS,4,3,0,2,ANUPAM SHUKLA,75
61,B,CHL869,APPLICATIONS OF COMPUTATIONAL FLUID DYNAMICS,3,2,0,2,VIVEK VITTHAL BUWA,25
62,B,CHL735,DESIGN OF SEPARATION PROCESSES,4,3,0,2,SUDDHASTWA BASU,41
63,B,CHL112,CHEMICAL PROCESS TECHNOLOGY,4,3,1,0,SREEDEVI UPADHYAYULA,124
64,C,CHL712,COMPUTER AIDED DESIGN IN CHEMICAL ENGINEERING,3,2,0,2,RATAN MOHAN,16
65,C,CHL122,CHEMICAL REACTION ENGG. 1,4,3,1,0,K DP NIGAM,116
66,C,CHL702,PLANT DESIGN,4,3,0,2,KAMAL KISHORE PANT,22
67,C,CHL291,INTRODUCTION TO BIOCHEMICAL ENGINEERING,4,3,1,0,ANURAG SINGH RATHORE,14
68,C,CHL275,SAFETY AND HAZARDS IN THE PROCESS INDUSTRIES,4,3,1,0,ANIL KUMAR SAROHA,43
69,C,CHP303,CHEMICAL REACTION ENGINEERING AND PROCESS CONTROL,1.5,0,0,3,SHAIK ABDUL MUNAWAR,85
70,D,CHL762,"MODELLING,SIMULATION AND CONTROL",4,3,0,2,D P RAO,19
71,E,CHP301,FLUID MECHANICS & HEAT TRANSFER LAB,1.5,0,0,3,KAMAL KISHORE PANT,97
72,E,CHL471,PROCESS EQUIPMENT DESIGN AND ECONOMICS,4.5,3,0,3,SHANTANU ROY,56
73,E,CHL204,TRANSPORT PROCESSES II,4,3,1,0,A K GUPTA,33
74,E,CHL110,TRANSPORT PHENOMENA,4,3,1,0,S K GUPTA,272
75,E,CHL351,MASS TRANSFER OPERATIONS,4,3,1,0,RAJESH KHANNA,131
76,E,CHL774,PROCESS OPTIMIZATION,4,3,0,2,SHAIK ABDUL MUNAWAR,57
77,F,CHL390,PROCESS UTILITIES AND PIPELINE DESIGN,4,3,0,2,B PITCHUMANI,83
78,F,CHL766,INTERFACIAL ENGG,3,3,0,0,A N BHASKARWAR,22
79,F,CHL392,POLYMER SCIENCE AND ENGINEERING,4,3,1,0,SUDIP KUMAR PATTANAYEK,51
80,F,CHL202,PROCESS SYSTEMS ANALYSIS AND CONTROL,4,3,1,0,JAMES GOMES,54
81,F,CHP311,DESIGN& LABORATORY PRACTICS,2,0,0,4,SUDIP KUMAR PATTANAYEK,120
82,F,CHP305,CHEMICAL ENGINEERING LABORATORY - II,1.5,0,0,3,ANIL KUMAR SAROHA,30
83,P,CHD852,MAJOR PROJECT PART 2 (CP),14,0,0,28,ANUPAM SHUKLA,12
84,P,CHD854,MAJOR PROJECT PART 2 (CP),16,0,0,32,ANUPAM SHUKLA,1
85,P,CHP711,PROCESS DEVELOPMENT LAB,3,0,0,6,D P RAO,0
86,P,CHD780,MAJOR PROJECT PART-II,12,0,0,12,SUDDHASTWA BASU,14
87,P,CHD864,MAJOR PROJECT PART 2 (CC),16,0,0,32,ANUPAM SHUKLA,1
88,P,CHD895,MAJOR PROJECT,40,0,0,80,SUDDHASTWA BASU,2
89,P,CHC750,SEMINAR (CP),1,0,0,2,ANUPAM SHUKLA,15
90,P,CHC760,SEMINAR (CC),1,0,0,2,ANUPAM SHUKLA,15
91,P,CHD771,MINOR PROJECT,4,0,0,8,SUDDHASTWA BASU,31
92,P,CHD411,MAJOR PROJECT PART 1 (CH),4,0,0,8,SREEDEVI UPADHYAYULA,5
93,P,CHT410,PRACTICAL TRAINING,0,0,0,0,V V KRISHNAN,2
94,P,CHD862,MAJOR PROJECT PART 2 (CC),14,0,0,28,ANUPAM SHUKLA,14
95,P,CHD412,MAJOR PROJECT PART 2 (CH),6,0,0,12,SREEDEVI UPADHYAYULA,46
96,A,CYL562,ORGANIC SYNTHESIS,3,3,0,0,H M CHAWLA,45
97,A,CYL688,PHYSICAL METHODS IN INORGANIC CHEMISTRY,3,3,0,0,RAVI SHANKAR,17
98,B,CYL726,CHEMINFORMATICS AND MOLECULAR MODELLING,3,3,0,0,B JAYARAM,30
99,B,CYL564,BIOCHEMISTRY II,3,3,0,0,SUNIL KUMAR KHARE,45
100,C,CYL665,SOLID STATE CHEMISTRY,3,3,0,0,ASHOK KUMAR GANGULI,7
101,C,CYL729,MATERIALS CHARACTERISATION: DIFFRACTION ETC,3,3,0,0,A RAMANAN,34
102,D,CYL110,PHYSICAL CHEMISTRY-CONCEPTS AND APPLICATIONS,4,3,1,0,SAMEER SAPRA,220
103,D,CYL727,INORGANAIC SYNTHESIS AND ANALYSIS,3,3,0,0,JAI DEO SINGH,47
104,D,CYL566,PHYSICAL METHOD OF STRUCTURAL DETER OF ORG COMPD,3,3,0,0,N GRAMESH,45
105,D,CYL120,INORGANIC & ORGANIC CHEMISTRY-CONCEPTS & APPLNS,4,3,1,0,S NAGENDRAN,218
106,D,CYL676,BIO-ORGANIC & MEDICINAL CHEMISTY,3,3,0,0,NALIN PANT,6
107,E,CYL563,TRANSITION & INNER TRANSITION METAL CHEMISTRY,3,3,0,0,A K SINGH,45
