S No,Slot,Course Code,Course Description,Course Credit,L,T,P,Course Co-Ordinator,Registered
1,A,AML110,ENGINEERING MECHANICS,4,3,0,2,SANTOSH KAPURIA,233
2,A,AML110,ENGINEERING MECHANICS,4,3,0,2,P K SEN,100
3,A,AMP776,PRODUCT DESIGN,3,1,0,4,S N SINGH,26
4,B,AML705,FINITE ELEMENT METHODS,4,3,0,2,BADRI PRASAD PATEL,35
5,B,AML160,MECHANICS OF FLUIDS,4,3,1,0,SANJEEV SANGHI,103
6,B,AML150,MECHANICS OF SOLIDS & FLUIDS,5,3,1,2,MALOY KUMAR SINGHA,49
7,B,AML110,ENGINEERING MECHANICS,4,3,0,2,N K GUPTA,100
8,B,AML751,MATERIALS FOR MARINE VEHICLES,3,3,0,0,SANTOSH S HOSMANI,19
9,B,AML750,MODERN ENGINEERING MATERIALS,3,3,0,0,RAJESH PRASAD,31
10,B,AML710,COMPUTER AIDED DESIGN,4,3,0,2,SRIRAM HEGDE,79
11,B,AML794,WARSHIP DESIGN,3,3,0,0,BALAJI SRINIVASAN,23
12,C,AML732,SOLID MECHANICS,3,3,0,0,S PRADYUMNA,24
13,C,AML773,MODELLING AND ANALYSIS,3,3,0,0,ANUPAM DEWAN,26
14,C,AML731,APPLIED ELASTICITY,4,3,1,0,R K MITTAL,22
15,D,AML734,ADVANCED DYNAMICS,4,3,1,0,SUHAIL AHMED,43
16,D,AML733,DYNAMICS,3,3,0,0,SUHAIL AHMED,19
17,D,AML140,MECHANICS OF SOLIDS,4,3,1,0,PUNEET MAHAJAN,100
18,D,AML791,SHIP RESISTANCE & PROPULSION,3,3,0,0,BALAJI SRINIVASAN,23
19,D,AML715,VISCOUS FLUID FLOWS,3,3,0,0,BALAJI SRINIVASAN,44
20,D,AMP772,FEASIBILITY STUDY,3,1,0,4,D K SEHGAL,25
21,D,AML130,EXPERIMENTAL METHODS AND ANALYSIS,5,3,1,2,MURALI RAMAN CHOLEMARI,82
22,E,AML711,ADVANCED FLUID MECHANICS,4,3,1,0,V SESHADRI,40
23,E,AML120,MATERIALS SCIENCE,4,3,0,2,S K GUPTA,254
24,E,AML713,APPLIED FLUID DYNAMICS,4,3,1,0,V SESHADRI,26
25,E,AML775,DESIGN METHODS,3,3,0,0,D K SEHGAL,26
26,F,AML702,APPLIED COMPUTATIONAL METHOD,4,3,0,2,SUHAIL AHMED,29
27,F,AML792,STRUCTURAL DESIGN OF SHIPS,3,3,0,0,BALAJI SRINIVASAN,23
28,F,AML805,ADVANCED FINITE ELEMENT METHODS,3,3,0,0,BADRI PRASAD PATEL,24
29,F,AML771,DECISION THEORY & DESIGN OPTIMIZATION,3,3,0,0,MALOY KUMAR SINGHA,25
30,H,AML701,ENGG MATHEMATICS & MECHANICS,3,3,0,0,BALAJI SRINIVASAN,27
31,H,AML851,FRACTURE MECHANICS,3,3,0,0,R K PANDEY,34
32,J,AML836,NON-LINEAR VIBRATION AND CHAOS,3,3,0,0,YOGENDRA NATH,9
33,P,AMD899,DESIGN PROJECT,10,0,0,20,BALAJI SRINIVASAN,19
34,P,AMD811,MAJOR PROJECT PART-I,6,0,0,12,ANUPAM DEWAN,19
35,P,AMD310,MINI PROJECT (AM),3,0,0,6,MURALI RAMAN CHOLEMARI,1
36,P,AMD813,MAJOR PROJECT PART-I,6,0,0,12,MALOY KUMAR SINGHA,18
37,P,AMD812,MAJOR PROJECT PART-II,12,0,0,24,SUHAIL AHMED,1
38,P,AMD895,MAJOR PROJECT,40,0,0,80,D K SEHGAL,2
39,B,BEL714,PROTEIN SCIENCE AND ENGINEERING,3,3,0,0,SAROJ MISHRA,11
40,B,BEL717,ANIMAL CELL TECHNOLOGY,4,3,0,2,P K ROYCHOUDHURY,10
41,C,BEL110,MOLECULAR CELL BIOLOGY,3,3,0,0,RITU KULSHRESTHA,67
42,C,BEL701,BIOTECHNOLOGY RESOURCE PLANNING AND IPR ISSUES,2,2,0,0,SUBHASH CHAND,27
43,C,BEL301,BIOPROCESS ENGINEERING,3,3,0,0,VIKRAM SAHAI,32
44,D,BEL417,BIOPHYSICS,3,3,0,0,SUNIL NATH,19
45,D,BEL715,BIOLOGICAL WASTE TREATMENT,4,3,0,2,T RSREEKRISHNAN,27
46,E,BEL722,GENOMICS AND PROTEOMICS,3,3,0,0,D SUNDAR,10
47,E,BEL101,BIOCHEMISTRY,5.5,3,1,3,PRASHANT MISHRA,36
48,E,BER350,PROFESSIONAL PRACTICES (BB),2,0,1,2,A K SRIVASTAVA,34
49,E,BEL850,ADVANCED BIOCHEMICAL ENGINEERING,5,3,0,4,ATUL NARANG,11
50,E,BEL403,ENZYME ENGINEERING AND TECHNOLOGY,4,3,0,2,SUBHASH CHAND,29
51,F,BEL412,IMMUNOLOGY,4,3,0,2,SHILPI SHARMA,22
52,F,BEL103,GENERAL MICROBIOLOGY,4.5,3,0,3,V S BISARIA,31
53,F,BEL416,MEMBRANE APPLICATIONS IN BIOPROCESSING,3,3,0,0,G P AGARWAL,14
54,F,BEP303,DESIGN OF BIOPROCESSES,2.5,0,1,3,VIKRAM SAHAI,32
55,F,BEL830,MICROBIAL BIOCHEMISTRY,3,3,0,0,SAROJ MISHRA,9
56,H,BEL810,ENZYME AND MICROBIAL TECHNOLOGY,3,3,0,0,S N MUKHOPADHYAY,6
57,H,BEL413,MODELLING AND SIMULATION OF BIOPROCESSES,4,3,0,2,A K SRIVASTAVA,37
58,J,BEL719,CURRENT TOPICS IN BIOCHEMICAL ENGINEERING AND BIOT,3,3,0,0,SAROJ MISHRA,22
59,J,BEL820,DOWNSTREAM PROCESSING,3,3,0,0,G P AGARWAL,9
60,N,BEN150,INTRO TOBO CHEM.&BO TECHNOLOHY,2,0,0,4,SUNIL NATH,45
61,P,BEP840,LAB TECH IN MICROBIAL BIOCHEMISTRY,2,0,0,4,PRASHANT MISHRA,9
62,P,BEC450,COLLOQUIUM (BB),3,0,3,0,SUBHASH CHAND,31
63,P,BED800,MAJOR PROJECT,40,0,0,80,PRASHANT MISHRA,6
64,P,BED853,MAJOR PROJECT PART 1 (BB),4,0,0,8,PRASHANT MISHRA,1
65,P,BES350,INDEPENDENT STUDY (BB),3,0,3,0,V S BISARIA,7
66,P,BET450,PRACTICAL TRAINING,0,0,0,0,G P AGARWAL,38
67,P,BED852,MAJOR PROJECT PART 2 (BB),14,0,0,28,PRASHANT MISHRA,1
68,P,BED851,MAJOR PROJECT PART 1 (BB),6,0,0,12,PRASHANT MISHRA,26
69,A,CHL603,ADVANCED TRANSPORT PHENOMENA,3,3,0,0,VIVEK VITTHAL BUWA,61
70,B,CHL701,PROCESS ENGG,4,3,0,2,RATAN MOHAN,51
71,B,CHL101,INTRO TO CHEM ENGG THERMODYNAMICS,3,2,1,0,ANUPAM SHUKLA,33
72,B,CHL103,CHEMICAL REACTOR ANALYSIS AND DESIGN,4,3,1,0,K DP NIGAM,39
73,B,CHL710,PROCESS DYNAMICS AND CONTROL,5,3,1,2,D P RAO,32
74,B,CHL111,MATERIAL & ENERGY BALANCE,4,2,2,0,ANIL KUMAR SAROHA,105
75,B,CHL133,POWDER PROCESSING AND TECHNOLOGY,4,3,1,0,B PITCHUMANI,87
76,C,CHL121,CHEM ENGG THERMODYNAMICS,4,3,1,0,SHANTANU ROY,114
77,C,CHL331,FLUID-PARTICLE MECHANICS,4,3,1,0,SUDIP KUMAR PATTANAYEK,85
78,C,CHL723,CHEMICAL REACTOR ENGG,3,3,0,0,D P RAO,58
79,D,CHL717,MECHANCIAL DESIGN PROCESS EQUIPMENT,4,3,0,2,O P AMAR,15
