S No,Slot,Course Code,Course Description,Course Credit,L,T,P,Course Co-Ordinator,Registered
80,D,CHL203,TRANSPORT PPROCESSES I,4,3,1,0,ANURAG SINGH RATHORE,34
81,D,CHL711,NUMERICAL METHODS IN CHEMICAL ENGINEERING,4,3,0,2,VIVEK VITTHAL BUWA,31
82,D,CHL260,APPLICATIONS OF PROGRAMMING IN CHEMICAL ENGINEERIN,4,3,0,2,J K JAIN,84
83,D,CHL231,FLUID MECHANCS FOR CHEM ENGINEERS,4,3,1,0,S N SINGH,113
84,E,CHP304,CHEMICAL ENGINEERING LABORATORY - I,1.5,0,0,3,RATAN MOHAN,29
85,E,CHL722,FUNDAMENTALS OF FUEL CELL TECHNOLOGY,4,3,0,2,SUDDHASTWA BASU,45
86,E,CHL261,INSTRUMENTATION AND PROCESS CONTROL,4,3,1,0,SHAIK ABDUL MUNAWAR,92
87,E,CHL794,PETROLEUM REFINERY ENGG,4,3,0,2,SREEDEVI UPADHYAYULA,59
88,F,CHL793,MEMBRANE SCIENCE AND ENGINEERING,3,3,0,0,S K GUPTA,76
89,F,CHL768,FUNDAMENTALS OF COMPUTATIONAL FLUID DYNAMICS,3,2,0,2,JAYTI SARKAR,34
90,F,CHL251,HEAT AND MASS TRANSFER,4,3,1,0,A N BHASKARWAR,113
91,F,CHL221,CHEMICAL REACTION ENGINEERING II,4,3,1,0,KAMAL KISHORE PANT,79
92,F,CHP302,MASS TRANSFER AND FLUID PARTICLE MECHANICS LABORAT,1.5,0,0,3,ANUPAM SHUKLA,88
93,H,CHL763,COMPUTER PROCESS CONTROL,3,3,0,0,S MK RAHMAN,13
94,H,CHL761,CHEMICAL ENGG MATHEMATICS,3,3,0,0,RAJESH KHANNA,48
95,N,CHN110,INTRO TO CHEMICAL ENGINEERING,2,0,0,4,ANURAG SINGH RATHORE,156
96,P,CHD411,MAJOR PROJECT PART 1 (CH),4,0,0,8,SREEDEVI UPADHYAYULA,48
97,P,CHD863,MAJOR PROJECT PART 1 (CC),4,0,0,8,ANUPAM SHUKLA,1
98,P,CHD853,MAJOR PROJECT PART 1 (CP),4,0,0,8,ANUPAM SHUKLA,1
99,P,CHT410,PRACTICAL TRAINING,0,0,0,0,V V KRISHNAN,70
100,P,CHD412,MAJOR PROJECT PART 2 (CH),6,0,0,12,SREEDEVI UPADHYAYULA,4
101,P,CHD770,MAJOR PROJECT PART-I,6,0,0,12,SUDDHASTWA BASU,15
102,P,CHD854,MAJOR PROJECT PART 2 (CP),16,0,0,32,ANUPAM SHUKLA,1
103,P,CHD852,MAJOR PROJECT PART 2 (CP),14,0,0,28,ANUPAM SHUKLA,1
104,P,CHC410,COLLOQUIUM (CH),3,0,3,0,S K GUPTA,74
105,P,CHD861,MAJOR PROJECT PART 1 (CC),6,0,0,12,ANUPAM SHUKLA,14
106,P,CHD895,MAJOR PROJECT,40,0,0,80,ANIL KUMAR SAROHA,2
107,P,CHD864,MAJOR PROJECT PART 2 (CC),16,0,0,32,ANUPAM SHUKLA,1
108,P,CHD851,MAJOR PROJECT PART 1 (CP),6,0,0,12,ANUPAM SHUKLA,13
109,A,CYL677,SUPRAMOLECULAR CHEMISTRY,3,3,0,0,H M CHAWLA,43
110,B,CYL601,GROUP THEORY & SPECTROSCOPY,3,3,0,0,B JAYARAM,35
111,B,CYL110,PHYSICAL CHEMISTRY-CONCEPTS AND APPLICATIONS,4,3,1,0,PRAMIT KUMAR CHOWDHURY,276
112,B,CYL503,MAIN GROUP CHEMISTRY AND INORGANIC SOLIDS,3,3,0,0,ASHOK KUMAR GANGULI,47
113,C,CYL501,MOLECULAR THERMODYNAMICS,3,3,0,0,NARAYANAN KURUR,47
114,D,CYL230,POLYMER CHEMISTRY,3,2,1,0,S NAGENDRAN,88
115,D,CYL502,STEREOCHEMISTRY AND ORGANIC REACTION MECHANISMS,3,3,0,0,NALIN PANT,51
116,D,CYL120,INORGANIC & ORGANIC CHEMISTRY-CONCEPTS & APPLNS,4,3,1,0,RAVI SHANKAR,329
117,D,CYL721,"DESIGN SYNTHESIS, & CHARACTERIZATION OF ORGANIC",3,3,0,0,P S PANDEY,27
118,E,CYL725,MOLECULES TO MATERIALS,3,3,0,0,SAMEER SAPRA,25
119,E,CYL604,BIOCHEMISTRY III,3,3,0,0,SUNIL KUMAR KHARE,34
120,E,CYL505,INSTRUMENTAL METHODS OF ANALYSIS,3,3,0,0,A K SINGH,47
121,F,CYL504,BIOCHEMISTRY I,3,3,0,0,M N GUPTA,47
122,F,CYL686,INORGANIC POLYMERS,3,3,0,0,ANIL JACOB ELIAS,43
123,H,CYL603,BASIC ORGANOMETALLIC CHEMISTRY,3,3,0,0,D K BANDYOPADHYAY,35
124,J,CYL602,PERICYCLIC REACTIONS AND PHOTOCHEMISTRY,3,3,0,0,R N RAM,35
125,P,CYD799,MINOR PROJECT,3,0,0,6,SIDDHARTH PANDEY,8
126,P,CYD660,PROJECT PART 1,3,0,0,6,V HARIDAS,33
127,P,CYP501,PHYSICAL CHEMISTRY LABORATORY COURSE I,2,0,0,4,NARAYANAN KURUR,47
128,P,CYS801,INDEPENDENT STUDY,4,0,0,8,SIDDHARTH PANDEY,8
129,P,CYP504,BIOCHEMISTRY LABORATORY COURSE I,2,0,0,4,M N GUPTA,47
130,P,CYP722,"LAB ON DESIGN,SYNTHESIS & CHARACTERIZATION OF ORG.",3,0,0,6,P S PANDEY,8
131,P,CYD801,MAJOR PROJECT PART-I,6,0,0,12,SIDDHARTH PANDEY,7
132,P,CYD803,MAJOR PROJECT PART-I,4,0,0,8,SIDDHARTH PANDEY,1
133,P,CYP502,ORGANIC CHEMISTRY LABORATORY COURSE I,2,0,0,4,NALIN PANT,47
134,P,CYP503,INORGANIC CHEMISTRY LABORATORY COURSE I,2,0,0,4,ASHOK KUMAR GANGULI,47
135,Q,CYP100,CHEMISTRY LABORATORY,2,0,0,4,JAI DEO SINGH,437
136,A,CSL630,ADVANCED DATA STRUCTURES,4,3,0,2,S N MAHESHWARI,74
137,A,CSL102,INTRODUCTION TO COMPUTER SCIENCE,4,3,0,2,S BANERJEE,112
138,A,CSL101,INTRO TO COMPUTERS AND PROGRAMMING,4,3,0,2,HUZUR SARAN,327
139,B,CSL783,DIGITAL IMAGE ANALYSIS,4.5,3,0,3,PREM KUMAR KALRA,88
140,B,CSL719,SYNTHESIS OF DIGITAL SYSTEMS,4,3,0,2,PREETI RANJAN PANDA,46
141,B,CSL201,DATA STRUCTURES,5,3,0,4,SUBODH KUMAR,162
142,C,CSL665,INTRODUCTION TO LOGIC & FUNCTIONAL PROGRAMMING,4,3,0,2,SAROJ KAUSHIK,52
143,D,CSL374,COMPUTER NETWORKS,4.5,3,0,3,AADITESHWAR SETH,79
144,D,CSL211,COMPUTER ARCHITECTURE,5,3,1,2,ANSHUL KUMAR,106
145,D,CSL672,COMPUTER NETWORKS,4,3,0,2,AADITESHWAR SETH,14
146,E,CSL771,DATABASE IMPLEMENTATIONS,4,3,0,2,S K GUPTA,74
147,E,CSL303,LOGIC FOR COMPUTER SCIENCE,4,3,0,2,SANJIVA PRASAD,38
148,F,CSL356,ANALYSIS AND DESIGN OF ALGORITHMS,4,3,1,0,AMIT KUMAR,56
149,F,CSL854,APPROXIMATION ALGORITHMS,3,3,0,0,AMIT KUMAR,21
150,F,CSL105,DISCRETE MATHEMATICAL STRUCTURES,4,3,1,0,NAVEEN GARG,101
151,H,CSL864,SPECIAL TOPICS IN ARTIFICIAL INTELLIGENCE,3,3,0,0,K K BISWAS,25
152,J,CSL860,SPECIAL TOPICS IN PARALLEL COMPUTATION,3,3,0,0,AMITABHA BAGCHI,8
153,K,CSL852,COMPUTATIONAL GEOMETRY,4,3,0,2,SANDEEP SEN,22
154,L,CSL859,COMPUTER GRAPHICS-II,4,3,0,2,SUBODH KUMAR,17
155,M,CSL862,SPECIAL TOPICS IN SOFTWARE SYSTEMS,3,3,0,0,SORAV BANSAL,10
156,N,CSN110,IINTRODUCTON TO COMP SC. & ENGINEERING,2,0,0,4,SANJIVA PRASAD,96
157,P,CSP301,DESIGN PRACTICES IN COMPUTER SCIENCE,3,0,1,4,SORAV BANSAL,89
158,P,CSP601,SOFTWARE SYSTEMS LAB,3,0,0,6,SORAV BANSAL,48
159,P,CSP745,DIGITAL SYSTEMS LAB,3,0,0,6,PREETI RANJAN PANDA,15
160,P,CSS310,INDEPENDENT STUDY (CS),3,0,3,0,VINAY JOSEPH RIBEIRO,11
161,P,CSS799,INDEPENDENT STUDY,3,0,3,0,SANJIVA PRASAD,2
162,P,CSD745,MINOR PROJECT,4,0,1,6,SANJIVA PRASAD,2
163,P,CST410,PRACTICAL TRAINING,0,0,0,0,SAROJ KAUSHIK,60
164,P,CSV882,SPECIAL MODULE IN SOFTWARE SYSTEMS,1,1,0,0,SANDEEP SEN,21
165,P,CSD310,MINI PROJECT (CS),3,0,0,6,VINAY JOSEPH RIBEIRO,5
166,P,CSP315,EMBEDDED SYSTEM DESIGH LAB,4,0,1,6,M BALAKRISHNAN,43
167,P,CSD750,MINOR PROJECT (CO),4,0,1,6,PREETI RANJAN PANDA,6
168,P,CSD411,MAJOR PROJECT PART 1 (CS),4,0,0,8,S K GUPTA,38
169,P,CSD852,MAJOR PROJECT PART 2 (CO),14,0,0,28,PREETI RANJAN PANDA,1
170,P,CSD851,MAJOR PROJECT PART 1 (CO),6,0,0,12,PREETI RANJAN PANDA,14
171,P,CSD853,MAJOR PROJECT PART 1 (CO),4,0,0,8,PREETI RANJAN PANDA,4
172,P,CSD412,MAJOR PROJECT PART 2 (CS),8,0,0,16,S K GUPTA,1
173,P,CSD895,MAJOR PROJECT,40,0,0,80,SANJIVA PRASAD,5
174,P,CSC410,COLLOQUIUM (CS),3,0,3,0,S K GUPTA,62
175,P,CSD893,MAJOR PROJECT PART - I,6,0,0,12,SANJIVA PRASAD,27
176,P,CSD894,MAJOR PROJECT PART-II,12,0,0,24,SANJIVA PRASAD,3
177,A,CEL771,CIVIL ENGG MATERIALS,3,3,0,0,SUPRATIC GUPTA,89
178,A,CEL793,AIR POLLUTION AND CONTROL,4,3,0,2,MUKESH KHARE,23
179,A,CEL715,SOIL STRUCTURE INTERACTION ANALYSIS,3,3,0,0,B MUNWAR BASHA,30
180,A,CEL727,DESIGN OF INDUSTRIAL STRUCTURES,3,2,1,0,SURESH BHALLA,11
181,A,CEL734,MATHEMATICAL AND NUMERICAL METHODS,3,2,1,0,VASANT A MATSAGAR,9
182,A,CEL735,HYDROLOGIC PROCESSES & MODELING,3,3,0,0,RAKESH KHOSA,17
183,A,CEL751,ENGINEERING PROPERTIES OF ROCKS & ROCK,3,3,0,0,K G SHARMA,23
184,B,CEL753,STRUCTURAL GEOLOGY,3,2,0,2,K S RAO,24
185,B,CEL737,OPTIMISATION TECHNIQUES IN WATER RESOURCES,3,3,0,0,BHAGU RAM CHAHAR,15
186,B,CEL717,ADVANCED STRUCTURAL ANALYSIS,3,3,0,0,T K DATTA,31
187,B,CEL241,TRANSPORTATION ENGINEERING I,4,3,0,2,GEETAM TEWARI,87
188,B,CEL701,ENGINEERING BEHAVIOUR OF SOILS,3,3,0,0,K K GUPTA,31
189,B,CEL795,WATER AND WASTE-WATER TREATMENT PROCESSES,3,3,0,0,ARUN KUMAR,30
190,B,CEL772,QUANTITATIVE METHODS IN CONSTRUCTION MANAGEMENT,3,2,1,0,K CHANDRASHEKHAR IYER,62
191,C,CEL774,CONSTRUCTION ENGINEERING PRACTICES,3,3,0,0,B BHATTACHARJEE,55
192,C,CEL782,PAVEMENT MATERIALS AND CONSTRUCTION TECHNIQUES,3,2,0,2,GEETAM TEWARI,15
193,C,CEL886,ENVIRONMENTAL SYSTEMS ANALYSIS,4,3,0,2,ARVIND KUMAR NEMA,23
194,C,CEL703,SITE INVESTIGATIONS AND GROUND IMPROVEMENT,3,3,0,0,JAGDISH TELANGRAO SHAHU,23
195,C,CEL464,CONSTRUCTION CONTRACT AND ECONOMICS,3,2,1,0,KUMAR NEERAJ JHA,59
196,C,CEL271,ELEMENTS OF SURVEYING,3,2,0,2,GAZALA HABIB,91
197,C,CEL733,FEM IN STRUCTURAL ENGINEERING,3,2,1,0,A K NAGPAL,41
198,C,CEL754,GEOTECHNICAL PROCESSES IN ROCK ENGG,3,3,0,0,JAGDISH TELANGRAO SHAHU,18
199,D,CEL739,GROUNDWATER HYDROLOGY,3,3,0,0,BHAGU RAM CHAHAR,22
200,D,CEL721,DESIGN OF CONCRETE STRUCTURE,3,2,1,0,S N SINHA,40
201,D,CEL442,TRAFFIC AND TRANSPORTATION PLANNING,3,2,1,0,GEETAM TEWARI,54
202,D,CEL705,GEOENVIRONMENTAL ENGINEERING,3,3,0,0,VENKATA RAMANA GUNTURI,21
203,D,CEL891,THERMAL TECHNICS FOR WASTE MANAGEMENT,3,3,0,0,BABU J ALAPPAT,12
204,D,CEL783,TRAFFIC ENGG,4,3,0,2,RAMACHANDRA RAO KALAGA,15
205,D,CEL777,BUILDING SCIENCE,3,3,0,0,B BHATTACHARJEE,55
206,D,CEL761,UNDERGROUND SPACE TECH,3,3,0,0,K S RAO,21
207,D,CEL231,STRUCTURAL ANALYSIS I,5,3,1,2,ASHOK GUPTA,94
208,E,CEL840,STOCHASTIC HYDROLOGY,3,3,0,0,RAKESH KHOSA,15
209,E,CEL899,ENVIRONMENTAL RISK ASSESSMENT,3,3,0,0,ARUN KUMAR,25
210,E,CEL451,WATER POWER ENGINEERING,4,3,0,2,DEO RAJ KAUSHAL,26
211,E,CEL321,GEOTECHNICAL ENGINEERING,5.5,3,1,3,JAGDISH TELANGRAO SHAHU,81
212,E,CEL421,GROUND IMPROVEMENT,4,3,0,2,R AYOTHIRAMAN,1
213,E,CEL719,STRUCTURAL DYNAMICS,3,3,0,0,A K JAIN,37
214,F,CEL729,ADVANCED DESIGN OF BRIDGES,3,2,1,0,SUPRATIC GUPTA,20
215,F,CEL331,STRUCTURAL ANALYSIS II,5,3,1,2,SURESH BHALLA,77
216,F,CEL422,ROCK ENGINEERING,3,3,0,0,VENKATA RAMANA GUNTURI,19
217,F,CEL251,HYDROLOGY AND HYDRAULICS,6,3,1,4,SHASHI MATHUR,91
218,F,CEL797,ENVIRONMENTAL IMPACT ASSESSMENT,3,3,0,0,ARVIND KUMAR NEMA,63
219,F,CEL773,MANAGEMENT OF QUALITY AND SAFETY IN CONSTRUCTION,3,2,1,0,J UMA MAHESWARI,78
220,H,CEL769,PROJECT PLANNING & CONTROL,3,2,1,0,ANIL SAWHNEY,79
221,H,CEL433,ADVANCED STRUCTURAL DESIGN,4,3,0,2,ALOK MADAN,54
222,H,CEL455,INTRODUCTION TO GEOGRAPHIC INFORMATION SYSTEMS,3,2,0,2,A K GOSAIN,21
223,H,CEL731,PSC/COMPOSITE STRUCTURES,3,3,0,0,A K NAGPAL,20
224,H,CEL757,FIELD EXPLORATION AND MEASUREMENT,3,3,0,0,R AYOTHIRAMAN,21
225,H,CEL140,ENVIRONMENTAL STUDIES,3,3,0,0,BABU J ALAPPAT,149
226,J,CEL120,POLLUTION PREVENTION AND CONTROL,3,3,0,0,ATUL KUMAR MITTAL,191
227,J,CEL610,FOUNDATION ENGINEERING,3,3,0,0,BAPPADITYA MANNA,20
228,K,CEL781,URBAN & REGIONAL TRANSPORTATION PLANNING,3,2,0,0,RAMACHANDRA RAO KALAGA,41
229,K,CEP789,ENVIRONMENTAL CHEMISTRY AND MICROBIOLOGY,3,1,0,4,ATUL KUMAR MITTAL,22
230,L,CEL787,TRANSPORTATION SAFETY AND ENVIRONMENT,3,3,0,0,DINESH MOHAN,29
231,M,CEL788,PUBLIC TRANSPORTATION SYSTEMS,3,3,0,0,GEETAM TEWARI,39
232,M,CEC410,COLLOQUIUM (CE),3,0,3,0,K G SHARMA,71
233,N,CEN110,INTRODUCTION TO CIVIL ENGINEERING,2,0,0,4,BHAGU RAM CHAHAR,113
234,P,CEN760,METRO PROFESSIONAL PRACTICES,2,0,2,0,KUMAR NEERAJ JHA,22
235,P,CES820,INDEPENDENT STUDY,3,0,3,0,G S BANIPAL,2
236,P,CES870,INDEPENDENT STUDY,3,0,3,0,VASANT A MATSAGAR,1
237,P,CET410,PRACTICAL TRAINING,0,0,0,0,K G SHARMA,70
238,P,CED892,MAJOR PROJECT PART-II,12,0,0,24,ATUL KUMAR MITTAL,1
239,P,CED875,MAJOR PROJECT PART-I,6,0,0,12,SHASHANK BISHNOI,27
240,P,CED881,MAJOR PROJECT PART-I,6,0,0,12,GEETAM TEWARI,9
241,P,CED882,MAJOR PROJECT PART-II,12,0,0,24,GEETAM TEWARI,1
242,P,CED891,MAJOR PROJECT PART-I,6,0,0,12,ARVIND KUMAR NEMA,12
243,P,CED310,MINI PROJECT (CE),3,0,0,6,MUKESH KHARE,21
244,P,CED411,MAJOR PROJECT PART 1 (CE),3,0,0,6,MUKESH KHARE,71
245,P,CED412,MAJOR PROJECT PART 2 (CE),7,0,0,14,MUKESH KHARE,5
246,P,CED811,MAJOR PROJECT PART-I,6,0,0,12,JAGDISH TELANGRAO SHAHU,9
247,P,CED821,MAJOR PROJECT PART - I,6,0,0,12,G S BANIPAL,23
248,P,CED841,MAJOR PROJECT PART-I,6,0,0,12,RAKESH KHOSA,7
249,P,CED851,MAJOR PROJECT PART-I,6,0,0,12,K K GUPTA,3
250,P,CED871,MAJOR PROJECT PART-I,6,0,0,12,VASANT A MATSAGAR,15
251,R,CEP770,COMPUTATION LAB FOR CONSTRUCTION MANAGMENT,3,0,0,6,SHASHANK BISHNOI,22
252,R,CEP740,SIMULATION LABORATORY,4,1,0,6,N K GARG,12
253,T,CEP701,SOIL ENGINEERING LABORATORY,3,0,0,6,BAPPADITYA MANNA,21
254,T,CEP751,ROCK MECHANICS LAB-I,3,0,0,6,K G SHARMA,21
255,X,CEL845,TRANSPORTATION & TRAFFIC INFRASTRUCTURE DESIGN,3,3,0,0,S K DEB,11
256,A,EEL101,FUNDAMENTALS OF ELECT ENGG,4,3,0,2,S S MURTHY,129
257,A,EEL601,COMPUTER ARCHITECTURE,3,3,0,0,SUMANTRA DUTTA ROY,44
258,A,EEL711,SIGNAL THEORY,3,3,0,0,RANJAN KUMAR MALLIK,78
259,A,EEL743,POWER ELECTRONIC DEVICES & DC CONVERTERS,3,3,0,0,J K CHATTERJEE,22
260,A,EEL791,POWER SYSTEM ANALYSIS,3,3,0,0,ABHIJIT RAMCHANDRA ABHYANKAR,26
261,A,EEL824,NONLINEAR SYSTEMS,3,3,0,0,MASHUQ-UN-NABI,13
262,A,EEL858,MOBILE COMPUTING,3,3,0,0,H M GUPTA,9
263,A,EEL861,SELECTED TOPICS IN COMMUN ENGG.-I,3,3,0,0,SURINDER PRASAD,8
264,A,EEL890,PHOTONIC SWITCHING AND NETWORKING,3,3,0,0,DEVI CHADHA,16
265,B,EEL844,ADVANCED OR SELECTED TOPICS IN POWER ELECTRONICS,3,3,0,0,MUMMADI VEERACHARY,6
266,B,EEL831,DIGITAL SIGNAL PROCESSING II,3,3,0,0,S D JOSHI,17
267,B,EEL744,AC CONTROLLERS,3,3,0,0,BHIM SINGH,21
268,B,EEL754,COMPUTER GRAPHICS,4,3,0,2,M HANMANDLU,52
269,B,EEL721,LINEAR SYSTEM THEORY,3,3,0,0,S JANARDHANAN,13
270,B,EEL456,POWER ENGINEERING - II,4,3,0,2,BIJAYA KETAN PANIGRAHI,12
271,C,EEL732,MICROELECTRONICS,3,3,0,0,M JAGADESH KUMAR,57
272,C,EEL102,PRINCIPLES OF ELECT ENGG,4,3,0,2,RANJAN BOSE,172
273,C,EEL218,PHYSICAL ELECTRONICS,3,3,0,0,M JAGADESH KUMAR,13
274,C,EEL358,OPERATING SYSTEMS,3,3,0,0,S MK RAHMAN,77
275,C,EEL430,SELECTED TOPICS IN COMMUNICATION ENGINEERING - II,3,3,0,0,BREJESH LALL,9
276,D,EEL305,ELECTRIC DRIVES,4,3,1,0,G BHUVANESWARI,28
277,D,EEL202,CIRCUIT THEORY,4,3,1,0,R K PATNEY,105
278,D,EEL207,ENGINEERING ELECTROMAGNETICS,4,3,1,0,MAHESH P ABEGAONKAR,81
